iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,4,2,1,1637685952146717,1637685952146717,1637685952147026,1637685952147093,1637685952149140,1637685952181381,1637685952222822,1637685952149823,1637685952181381,1637685952221664,1637685952222823,1637685952323739,1637685954113716,1637685954113716
2,2,6,2,1,1637685954113719,1637685954113720,1637685954114084,1637685954114149,1637685954117934,1637685954188830,1637685954495805,1637685954118503,1637685954188830,1637685954237738,1637685954495805,1637685954651249,1637685957423643,1637685957423643
3,3,8,2,1,1637685957423646,1637685957423647,1637685957423973,1637685957424044,1637685957463846,1637685957632942,1637685958108120,1637685957479866,1637685957632942,1637685957681960,1637685958108120,1637685958271858,1637685960275461,1637685960275461
4,4,10,2,1,1637685960275464,1637685960275464,1637685960280188,1637685960280263,1637685960311767,1637685960449708,1637685961324265,1637685960313434,1637685960449708,1637685960555911,1637685961324265,1637685962458049,1637685965169420,1637685965169420
5,5,12,2,1,1637685965169425,1637685965169425,1637685965180406,1637685965180472,1637685965183081,1637685965315437,1637685966055944,1637685965183966,1637685965315436,1637685965379601,1637685966055945,1637685966883427,1637685970033835,1637685970033835
6,6,14,2,1,1637685970033841,1637685970033842,1637685970039584,1637685970039721,1637685970044720,1637685970252106,1637685971371712,1637685970048646,1637685970252106,1637685970455510,1637685971371712,1637685972078959,1637685975420767,1637685975420767
7,7,16,2,1,1637685975420772,1637685975420772,1637685975421047,1637685975453174,1637685975453724,1637685975671800,1637685976839559,1637685975454289,1637685975671800,1637685975799827,1637685976839559,1637685977863931,1637685981784682,1637685981784682
8,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637685981784686,1637685981987416,1637685985672646,1637685985672646
9,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637685985672651,1637685985771685,1637685989460997,1637685989460997
10,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637685989461000,1637685989519472,1637685992877089,1637685992877089
11,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637685992877093,1637685992904670,1637685996345865,1637685996345865
12,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637685996345868,1637685996455481,1637686000685101,1637686000685102
13,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637686000685106,1637686000819318,1637686004524890,1637686004524890
14,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637686004524893,1637686004548121,1637686008301067,1637686008301067
15,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637686008301071,1637686008395543,1637686012092701,1637686012092701
16,7,16,0,1,0,0,0,0,0,0,0,0,0,0,1637686012092705,1637686012191452,1637686016020868,1637686016020868
