iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,2,0,1,1637686016917778,1637686016917778,1637686016918136,1637686016918249,1637686016919581,1637686016920253,0,1637686016920263,1637686016931022,1637686016931022,1637686016931023,1637686016932986,1637686019873729,1637686019873729
2,1,4,2,2,1637686019873732,1637686019873732,0,0,0,1637686019876733,1637686019930915,1637686019874145,1637686019876733,1637686019930029,1637686019930916,1637686020024902,1637686021764044,1637686021764044
3,2,4,0,1,1637686021764047,1637686021764047,1637686021764381,1637686021764474,1637686021795284,1637686021843530,0,1637686021843541,1637686021848432,1637686021848432,1637686021848432,1637686021867457,1637686023366188,1637686023366188
4,2,6,2,2,1637686023366192,1637686023366192,0,0,0,1637686023373641,1637686023651264,1637686023366600,1637686023373641,1637686023417777,1637686023651265,1637686023791565,1637686026375899,1637686026375899
5,3,6,0,1,1637686026375903,1637686026375903,1637686026405225,1637686026407105,1637686026407562,1637686026408157,0,1637686026408165,1637686026408472,1637686026408472,1637686026408472,1637686026443958,1637686029162430,1637686029162430
6,3,8,2,2,1637686029162434,1637686029162434,0,0,0,1637686029186249,1637686029543411,1637686029162801,1637686029186248,1637686029219588,1637686029543411,1637686029671896,1637686031697855,1637686031697855
7,4,8,0,1,1637686031697858,1637686031697858,1637686031699310,1637686031699409,1637686031706512,1637686031707369,0,1637686031707376,1637686031763216,1637686031763217,1637686031763217,1637686031811293,1637686034294170,1637686034294170
8,4,10,2,2,1637686034294174,1637686034294174,0,0,0,1637686034325967,1637686035211229,1637686034294593,1637686034325967,1637686034396326,1637686035211230,1637686035372045,1637686038304577,1637686038304577
9,5,10,0,1,1637686038304582,1637686038304582,1637686038307291,1637686038307392,1637686038309573,1637686038309981,0,1637686038309986,1637686038369954,1637686038369955,1637686038369955,1637686038472689,1637686041509025,1637686041509025
10,5,12,2,2,1637686041509030,1637686041509030,0,0,0,1637686041559554,1637686042527629,1637686041509496,1637686041559554,1637686041684012,1637686042527629,1637686043646858,1637686046396951,1637686046396951
11,6,12,0,1,1637686046396956,1637686046396956,1637686046399916,1637686046401833,1637686046402327,1637686046402799,0,1637686046402805,1637686046444108,1637686046444109,1637686046444109,1637686046511774,1637686049588805,1637686049588805
12,6,14,2,2,1637686049588810,1637686049588810,0,0,0,1637686049598263,1637686050619351,1637686049589261,1637686049598262,1637686049732136,1637686050619352,1637686051235338,1637686054832744,1637686054832744
13,7,14,0,1,1637686054832748,1637686054832748,1637686054839726,1637686054839834,1637686054894352,1637686054894936,0,1637686054894942,1637686054895430,1637686054895430,1637686054895431,1637686055003185,1637686057956525,1637686057956525
14,7,16,2,2,1637686057956530,1637686057956530,0,0,0,1637686057970186,1637686059209095,1637686057957042,1637686057970186,1637686058123595,1637686059209095,1637686059488739,1637686063373012,1637686063373012
15,7,16,0,2,0,0,0,0,0,0,0,0,0,0,1637686063373017,1637686063491222,1637686067276742,1637686067276742
16,7,16,0,2,0,0,0,0,0,0,0,0,0,0,1637686067276751,1637686067277080,1637686071112625,1637686071112625
