iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,14,-2,1,1637686143219517,1637686143219517,1637686143299716,1637686143299801,1637686143655485,1637686143660360,1637686144827465,1637686144827484,1637686144985485,1637686145053433,1637686145053434,1637686145282059,1637686148964889,1637686148964890
2,2,12,-2,1,1637686148964892,1637686148964892,1637686148975009,1637686148975041,1637686149175546,1637686149191395,1637686152759321,1637686152759327,1637686152907675,1637686152971303,1637686152971304,1637686153060099,1637686156352841,1637686156352842
3,3,10,-2,1,1637686156352845,1637686156352845,1637686156452399,1637686156452484,1637686156659473,1637686156663905,1637686157399131,1637686157399136,1637686157555540,1637686157579432,1637686157579433,1637686157679242,1637686160533681,1637686160533681
4,4,8,-2,1,1637686160533684,1637686160533684,1637686160535469,1637686160535557,1637686160799464,1637686160799996,1637686161684541,1637686161684546,1637686161827899,1637686161879615,1637686161879616,1637686161926941,1637686164462366,1637686164462366
5,5,6,-2,1,1637686164462370,1637686164462370,1637686164472144,1637686164472177,1637686164560251,1637686164561098,1637686165035693,1637686165035700,1637686165096007,1637686165119564,1637686165119564,1637686165133570,1637686167707017,1637686167707018
6,6,4,-2,1,1637686167707023,1637686167707023,1637686167727671,1637686167727699,1637686167799602,1637686167800341,1637686168227412,1637686168227415,1637686168268927,1637686168287232,1637686168287233,1637686168289364,1637686169770804,1637686169770804
7,7,2,-2,1,1637686169770812,1637686169770812,1637686169771216,1637686169771313,1637686169827756,1637686169828894,1637686170004904,1637686170004907,1637686170009019,1637686170010125,1637686170010126,1637686170011796,1637686172941989,1637686172941989
8,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686172941993,1637686172943898,1637686175805023,1637686175805023
9,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686175805027,1637686175806808,1637686178663990,1637686178663990
10,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686178663994,1637686178666029,1637686181119006,1637686181119006
11,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686181119011,1637686181120859,1637686183950943,1637686183950943
12,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686183950947,1637686183952822,1637686186829472,1637686186829472
13,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686186829477,1637686186831341,1637686189294823,1637686189294824
14,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686189294829,1637686189296618,1637686192159479,1637686192159479
15,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686192159484,1637686192161283,1637686195006567,1637686195006567
16,7,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686195006573,1637686195009092,1637686197878231,1637686197878231
