iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,4,2,1,1637686198681822,1637686198681823,1637686198682168,1637686198682243,1637686198684563,1637686198733682,1637686198756912,1637686198685036,1637686198733682,1637686198755930,1637686198756913,1637686198882798,1637686200587503,1637686200587504
2,2,2,-2,1,1637686200587508,1637686200587508,1637686200587862,1637686200587959,1637686200592290,1637686200592666,1637686200763361,1637686200763365,1637686200778565,1637686200779452,1637686200779453,1637686200781251,1637686203717397,1637686203717397
3,3,6,4,1,1637686203717402,1637686203717402,1637686203717754,1637686203717843,1637686203750604,1637686203853679,1637686204119393,1637686203751064,1637686203853679,1637686203903550,1637686204119393,1637686204371603,1637686206479420,1637686206479420
4,4,2,-4,1,1637686206479423,1637686206479424,1637686206510608,1637686206510685,1637686206585207,1637686206585773,1637686206989561,1637686206989565,1637686206991651,1637686207039732,1637686207039733,1637686207041419,1637686209952319,1637686209952320
5,5,8,6,1,1637686209952323,1637686209952323,1637686209952667,1637686209952736,1637686209965132,1637686210105275,1637686210683614,1637686209966209,1637686210105275,1637686210208126,1637686210683614,1637686210888654,1637686213505823,1637686213505823
6,6,2,-6,1,1637686213505826,1637686213505826,1637686213507578,1637686213507646,1637686213663575,1637686213664502,1637686214012648,1637686214012652,1637686214066856,1637686214067912,1637686214067913,1637686214069482,1637686216618375,1637686216618376
7,7,10,8,1,1637686216618380,1637686216618380,1637686216618722,1637686216618782,1637686216620102,1637686216746832,1637686217695663,1637686216620568,1637686216746832,1637686216968235,1637686217695663,1637686217968581,1637686221014167,1637686221014168
8,8,2,-8,1,1637686221014175,1637686221014176,1637686221030768,1637686221030899,1637686221208194,1637686221208717,1637686221859851,1637686221859855,1637686221875086,1637686221876581,1637686221876581,1637686221878298,1637686224865642,1637686224865642
9,9,12,10,1,1637686224865648,1637686224865649,1637686224866055,1637686224866150,1637686224867523,1637686225001844,1637686226219344,1637686224867894,1637686225001844,1637686225180119,1637686226219344,1637686226539996,1637686229649097,1637686229649097
10,10,2,-10,1,1637686229649103,1637686229649104,1637686229649390,1637686229649489,1637686229943835,1637686229944877,1637686230639400,1637686230639407,1637686230652688,1637686230653576,1637686230653576,1637686230658784,1637686233224894,1637686233224894
11,1,14,12,1,1637686233224899,1637686233224899,1637686233225176,1637686233227908,1637686233228286,1637686233385780,1637686234915198,1637686233228836,1637686233385780,1637686233599404,1637686234915198,1637686235217253,1637686239005052,1637686239005052
12,2,2,-12,1,1637686239005057,1637686239005057,1637686239005321,1637686239011973,1637686239164204,1637686239167335,1637686240031725,1637686240031729,1637686240153162,1637686240154410,1637686240154411,1637686240159705,1637686243144156,1637686243144156
13,3,16,14,1,1637686243144162,1637686243144162,1637686243144569,1637686243144628,1637686243146739,1637686243347149,1637686245491423,1637686243148346,1637686243347149,1637686243495970,1637686245491424,1637686245767845,1637686248820384,1637686248820384
14,4,2,-14,1,1637686248820390,1637686248820390,1637686248839425,1637686248841624,1637686249099786,1637686249104335,1637686249836120,1637686249836124,1637686249995039,1637686249998962,1637686249998962,1637686250000675,1637686252961089,1637686252961089
15,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686252961093,1637686252962440,1637686255882788,1637686255882788
16,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1637686255882793,1637686255884239,1637686259504235,1637686259504235
