iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,2,0,1,1637686260650375,1637686260650376,1637686260656131,1637686260656285,1637686260658121,1637686260658987,0,1637686260659008,1637686260706410,1637686260706410,1637686260706410,1637686260708717,1637686263745853,1637686263745853
2,1,4,2,2,1637686263745858,1637686263745858,0,0,0,1637686263763020,1637686263814989,1637686263746371,1637686263763020,1637686263814127,1637686263814990,1637686263924206,1637686265461224,1637686265461224
3,2,2,-2,1,1637686265461230,1637686265461230,1637686265461635,1637686265461856,1637686265493038,1637686265493558,1637686265666769,1637686265666772,1637686265671716,1637686265672824,1637686265672824,1637686265674641,1637686267855752,1637686267855752
4,3,2,0,1,1637686267855755,1637686267855756,1637686267856114,1637686267856205,1637686267857415,1637686267859385,0,1637686267859392,1637686267876745,1637686267876745,1637686267876746,1637686267879323,1637686270358058,1637686270358058
5,3,6,4,2,1637686270358062,1637686270358062,0,0,0,1637686270361871,1637686270751431,1637686270358511,1637686270361871,1637686270447994,1637686270751431,1637686270882594,1637686272775234,1637686272775234
6,4,2,-4,1,1637686272775238,1637686272775238,1637686272779593,1637686272779659,1637686272840014,1637686272883210,1637686273233257,1637686273233260,1637686273239130,1637686273283809,1637686273283810,1637686273285366,1637686275386110,1637686275386111
7,5,2,0,1,1637686275386114,1637686275386115,1637686275392839,1637686275392949,1637686275394319,1637686275395658,0,1637686275395666,1637686275397429,1637686275397429,1637686275397429,1637686275406135,1637686277889621,1637686277889621
8,5,8,6,2,1637686277889627,1637686277889627,0,0,0,1637686277894898,1637686278531783,1637686277890087,1637686277894898,1637686278079574,1637686278531783,1637686278776677,1637686280565886,1637686280565886
9,6,2,-6,1,1637686280565890,1637686280565890,1637686280575415,1637686280575530,1637686280651496,1637686280652340,1637686280896403,1637686280896405,1637686280974706,1637686280975528,1637686280975528,1637686280977070,1637686283048122,1637686283048122
10,7,2,0,1,1637686283048126,1637686283048126,1637686283048494,1637686283048592,1637686283050327,1637686283050825,0,1637686283050830,1637686283052727,1637686283052727,1637686283052727,1637686283074508,1637686285587473,1637686285587473
11,7,10,8,2,1637686285587477,1637686285587478,0,0,0,1637686285614114,1637686286475264,1637686285608140,1637686285614114,1637686285759389,1637686286475265,1637686286671671,1637686288549605,1637686288549606
12,8,2,-8,1,1637686288549612,1637686288549613,1637686288555658,1637686288555722,1637686288639429,1637686288639844,1637686289188185,1637686289188187,1637686289243174,1637686289244177,1637686289244177,1637686289246592,1637686291732209,1637686291732209
13,9,2,0,1,1637686291732215,1637686291732215,1637686291732566,1637686291732655,1637686291734963,1637686291735491,0,1637686291735497,1637686291735757,1637686291735757,1637686291735758,1637686291738461,1637686293896933,1637686293896933
14,9,12,10,2,1637686293896938,1637686293896938,0,0,0,1637686293903803,1637686295219129,1637686293897245,1637686293903803,1637686294099922,1637686295219129,1637686295567686,1637686297729449,1637686297729449
15,10,2,-10,1,1637686297729455,1637686297729455,1637686297735535,1637686297738315,1637686298039531,1637686298040745,1637686298655967,1637686298655970,1637686298767376,1637686298769032,1637686298769033,1637686298792036,1637686301304484,1637686301304484
16,1,2,0,1,1637686301304488,1637686301304488,1637686301304874,1637686301304934,1637686301308325,1637686301308779,0,1637686301308784,1637686301309176,1637686301309176,1637686301309177,1637686301310754,1637686303994698,1637686303994698
17,1,14,12,2,1637686303994705,1637686303994705,0,0,0,1637686304003223,1637686305643652,1637686303995165,1637686304003223,1637686304380396,1637686305643652,1637686306031913,1637686308573104,1637686308573104
18,2,2,-12,1,1637686308573109,1637686308573109,1637686308580062,1637686308580130,1637686308788017,1637686308788569,1637686309720290,1637686309720293,1637686309850449,1637686309851436,1637686309851436,1637686309853066,1637686312436361,1637686312436361
19,3,2,0,1,1637686312436367,1637686312436367,1637686312436730,1637686312436796,1637686312439427,1637686312459440,0,1637686312459449,1637686312479833,1637686312479833,1637686312479833,1637686312483054,1637686314603097,1637686314603097
20,3,16,14,2,1637686314603104,1637686314603104,0,0,0,1637686314613103,1637686316479661,1637686314603525,1637686314613102,1637686315071483,1637686316479661,1637686317027406,1637686320434606,1637686320434606
