iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,1639046097474977,1639046097694190,1639046104183810,1639046104183810
2,1,12,-4,1,1639046104186583,1639046104186584,1639046104193868,1639046104193986,1639046104502711,1639046104507035,1639046106142703,1639046106142716,1639046106394068,1639046106497841,1639046106497864,1639046106659444,1639046111703722,1639046111703722
3,2,8,-4,1,1639046111703769,1639046111703769,1639046111726697,1639046111726731,1639046112134708,1639046112135287,1639046113863788,1639046113863793,1639046114069727,1639046114085122,1639046114085157,1639046114170195,1639046117800181,1639046117800181
4,3,4,-4,1,1639046117800207,1639046117800207,1639046117810859,1639046117810950,1639046117945626,1639046117950810,1639046118465143,1639046118465147,1639046118504119,1639046118531521,1639046118531537,1639046118533458,1639046121341338,1639046121341338
5,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046121341363,1639046121342251,1639046124118413,1639046124118413
6,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046124118435,1639046124124865,1639046126896016,1639046126896016
7,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046126896039,1639046126896775,1639046129399576,1639046129399577
8,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046129399634,1639046129401702,1639046132009678,1639046132009678
9,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046132009733,1639046132011541,1639046134668565,1639046134668565
10,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1639046134668617,1639046134670476,1639046137301240,1639046137301240
