iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,1,8,4,1,1638911852535482,1638911852535482,1638911852535865,1638911852535938,1638911852538948,1638911852739014,1638911853176404,1638911852539631,1638911852739014,1638911852888486,1638911853176404,1638911853349672,1638911857175258,1638911857175258
2,2,12,4,1,1638911857175260,1638911857175260,1638911857254013,1638911857254049,1638911857318506,1638911857689672,1638911858866750,1638911857325749,1638911857689671,1638911857941636,1638911858866750,1638911860389609,1638911865311483,1638911865311483
3,3,16,4,1,1638911865311486,1638911865311486,1638911865346887,1638911865346927,1638911865370712,1638911865830252,1638911867213910,1638911865450087,1638911865830252,1638911866008366,1638911867213911,1638911867677901,1638911872982885,1638911872982885
4,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911872982888,1638911873031337,1638911879334344,1638911879334344
5,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911879334346,1638911879478548,1638911885751505,1638911885751505
6,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911885751508,1638911885793479,1638911892014878,1638911892014878
7,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911892014881,1638911892185226,1638911897960529,1638911897960529
8,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911897960532,1638911898033213,1638911904384505,1638911904384505
9,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911904384509,1638911904542556,1638911910976117,1638911910976117
10,3,16,0,1,0,0,0,0,0,0,0,0,0,0,1638911910976120,1638911911190083,1638911917903059,1638911917903059
