iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start_1, request_start, get_rc_start_2, psetop_start, handle_rc_start, handle_rc_end, accept_start, accept_end, rc_end, partition_start, interval_start, interval_end, iteration_end
1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1639043957625938,1639043957627348,1639043960301544,1639043960301544
2,1,8,4,1,1639043960301578,1639043960301579,1639043960311595,1639043960311685,1639043960319404,1639043960436342,1639043960915472,1639043960328286,1639043960436342,1639043960546833,1639043960915472,1639043961154755,1639043965293529,1639043965293529
3,2,4,-4,1,1639043965293556,1639043965293556,1639043965294502,1639043965294533,1639043965462757,1639043965464032,1639043965882793,1639043965882800,1639043965897399,1639043965903960,1639043965903961,1639043965924754,1639043968485730,1639043968485731
4,3,12,8,1,1639043968485797,1639043968485797,1639043968486437,1639043968486470,1639043968488471,1639043968686517,1639043969722624,1639043968491366,1639043968686517,1639043968825841,1639043969722624,1639043970019077,1639043974924405,1639043974924405
5,4,4,-8,1,1639043974924435,1639043974924436,1639043974947623,1639043974947672,1639043975139671,1639043975147085,1639043975799759,1639043975799765,1639043975878256,1639043975935116,1639043975935116,1639043975939360,1639043978591647,1639043978591647
6,5,16,12,1,1639043978591703,1639043978591704,1639043978606031,1639043978606064,1639043978651611,1639043978880755,1639043980622411,1639043978657767,1639043978880755,1639043979252799,1639043980622411,1639043981063223,1639043987108112,1639043987108112
7,6,4,-12,1,1639043987108156,1639043987108156,1639043987206647,1639043987206713,1639043987443489,1639043987450067,1639043990378777,1639043990378786,1639043990542763,1639043990581750,1639043990581751,1639043990595140,1639043993106323,1639043993106323
8,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1639043993106384,1639043993107944,1639043995968292,1639043995968292
9,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1639043995968339,1639043995988719,1639043998837004,1639043998837004
10,6,4,0,1,0,0,0,0,0,0,0,0,0,0,1639043998837088,1639043998838197,1639044001658893,1639044001658893
