res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680903610900,1637680903610903,1637680903611774,1637680903612363,1637680903655682,0,1637680903655684
2,2,2,1637680904847529,1637680904847541,1637680904847579,1637680904853530,1637680904917215,1637680904925353,1637680904925377
3,1,4,1637680906764267,1637680906764270,1637680906765367,1637680906766208,1637680906967638,0,1637680906967641
4,2,4,1637680909156183,1637680909156193,1637680909156221,1637680909160123,1637680909235447,1637680909259757,1637680909259842
5,1,6,1637680910988153,1637680910988156,1637680910989684,1637680910990578,1637680911196235,0,1637680911196237
6,2,6,1637680913771330,1637680913771344,1637680913771400,1637680913785413,1637680913934927,1637680913941500,1637680913941583
7,1,8,1637680915719128,1637680915719134,1637680915721258,1637680915722572,1637680915961003,0,1637680915961006
8,2,8,1637680919228184,1637680919228202,1637680919228229,1637680919232245,1637680919488717,1637680919493585,1637680919493712
9,1,10,1637680921159531,1637680921159536,1637680921159699,1637680921161545,1637680921374955,0,1637680921374957
10,2,10,1637680925071787,1637680925071817,1637680925071909,1637680925072991,1637680925288842,1637680925293642,1637680925293815
1,1,12,1637680927064960,1637680927064965,1637680927066748,1637680927068421,1637680927285734,0,1637680927285736
2,2,12,1637680931981210,1637680931981237,1637680931981266,1637680931987928,1637680932273654,1637680932282331,1637680932282649
3,1,14,1637680934028123,1637680934028129,1637680934029973,1637680934032047,1637680934332198,0,1637680934332202
4,2,14,1637680939495498,1637680939495527,1637680939495557,1637680939504731,1637680939942252,1637680939954912,1637680939955504
