res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637680903610478,1637680903610480,1637680903610520,1637680903610527,1637680903610546,1637680903610555,1637680903610728,0,0,1637680903655685
2,2,2,1637680904844371,1637680904844373,1637680904844404,1637680904844408,1637680904847369,1637680904847381,1637680904847394,1637680904917191,1637680904925327,1637680904925377
3,1,4,1637680906763772,1637680906763774,1637680906763818,1637680906763820,1637680906763854,1637680906763862,1637680906764036,0,0,1637680906967641
4,2,4,1637680909131639,1637680909131642,1637680909131672,1637680909131675,1637680909155808,1637680909155818,1637680909155822,1637680909235426,1637680909259735,1637680909259841
5,1,6,1637680910987797,1637680910987799,1637680910987866,1637680910987869,1637680910987896,1637680910987903,1637680910988029,0,0,1637680911196238
6,2,6,1637680913746109,1637680913746111,1637680913746207,1637680913746210,1637680913746392,1637680913746400,1637680913746407,1637680913934914,1637680913941482,1637680913941583
7,1,8,1637680915718445,1637680915718447,1637680915718559,1637680915718562,1637680915718595,1637680915718602,1637680915718954,0,0,1637680915961006
8,2,8,1637680919227768,1637680919227770,1637680919227815,1637680919227818,1637680919228007,1637680919228015,1637680919228023,1637680919488698,1637680919493565,1637680919493712
9,1,10,1637680921159048,1637680921159050,1637680921159177,1637680921159179,1637680921159215,1637680921159222,1637680921159350,0,0,1637680921374957
10,2,10,1637680925071441,1637680925071444,1637680925071495,1637680925071498,1637680925071698,1637680925071706,1637680925071713,1637680925288818,1637680925293624,1637680925293815
1,1,12,1637680927064259,1637680927064260,1637680927064431,1637680927064434,1637680927064473,1637680927064480,1637680927064695,0,0,1637680927285736
2,2,12,1637680931979494,1637680931979496,1637680931979556,1637680931979559,1637680931980866,1637680931981053,1637680931981063,1637680932273628,1637680932282308,1637680932282646
3,1,14,1637680934027264,1637680934027266,1637680934027528,1637680934027531,1637680934027588,1637680934027598,1637680934027834,0,0,1637680934332203
4,2,14,1637680939492262,1637680939492264,1637680939492330,1637680939492332,1637680939495124,1637680939495343,1637680939495372,1637680939942236,1637680939954892,1637680939955501
