res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637680948209051,1637680948209056,1637680948212443,1637680948214069,1637680948266755,0,1637680948266758
2,2,2,1637680950108274,1637680950108283,1637680950108554,1637680950109015,1637680950194857,1637680950199062,1637680950199121
3,1,4,1637680951360450,1637680951360455,1637680951360473,1637680951361286,1637680951560055,0,1637680951560060
4,2,4,1637680953852380,1637680953852390,1637680953852406,1637680953852763,1637680953960443,1637680953964852,1637680953964859
5,1,6,1637680955124147,1637680955124152,1637680955125379,1637680955125975,1637680955301209,0,1637680955301211
6,2,6,1637680958470690,1637680958470705,1637680958472395,1637680958473017,1637680958728601,1637680958755915,1637680958755921
7,1,8,1637680959901176,1637680959901181,1637680959903224,1637680959905707,1637680960063457,0,1637680960063463
8,2,8,1637680964095518,1637680964095541,1637680964095566,1637680964173203,1637680964295169,1637680964301340,1637680964301348
9,1,10,1637680965872012,1637680965872019,1637680965872036,1637680965874199,1637680966081905,0,1637680966081908
10,2,10,1637680970973170,1637680970973191,1637680970979069,1637680970979496,1637680971334232,1637680971344607,1637680971344618
1,1,12,1637680972488460,1637680972488471,1637680972491526,1637680972492375,1637680972766703,0,1637680972766719
2,2,12,1637680977576440,1637680977576470,1637680977576504,1637680977655624,1637680977814288,1637680977824019,1637680977824029
