res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637681030399707,1637681030399709,1637681030399772,1637681030399780,1637681030399800,1637681030399809,1637681030399972,0,0,1637681030476563
2,2,2,1637681032443842,1637681032443844,1637681032443875,1637681032443878,1637681032444015,1637681032444024,1637681032444027,1637681032484952,1637681032527144,1637681032527205
3,1,4,1637681034419846,1637681034419848,1637681034419930,1637681034419933,1637681034419959,1637681034419969,1637681034420133,0,0,1637681034505653
4,2,4,1637681037453471,1637681037453473,1637681037453502,1637681037453504,1637681037453702,1637681037453711,1637681037453718,1637681037605453,1637681037629734,1637681037629825
5,1,6,1637681039507264,1637681039507267,1637681039507623,1637681039507627,1637681039507660,1637681039507669,1637681039507911,0,0,1637681039628247
6,2,6,1637681043440452,1637681043440454,1637681043440494,1637681043440497,1637681043443866,1637681043443876,1637681043443885,1637681043775945,1637681043783066,1637681043783210
7,1,8,1637681045711501,1637681045711503,1637681045711659,1637681045711662,1637681045711697,1637681045711705,1637681045715333,0,0,1637681046026480
8,2,8,1637681050771573,1637681050771575,1637681050771705,1637681050771709,1637681050771909,1637681050771918,1637681050771921,1637681051167669,1637681051170877,1637681051171070
9,1,10,1637681053139825,1637681053139827,1637681053140035,1637681053140038,1637681053140076,1637681053140083,1637681053143349,0,0,1637681053428901
10,2,10,1637681058844837,1637681058844839,1637681058844896,1637681058844900,1637681058948777,1637681058948787,1637681058948793,1637681059434747,1637681059438906,1637681059439160
