res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686198683434,1637686198683438,1637686198686261,1637686198687039,1637686198731272,0,1637686198731274
2,2,2,1637686200589724,1637686200589733,1637686200589818,1637686200590689,1637686200777371,1637686200784184,1637686200784208
3,1,4,1637686203718887,1637686203718890,1637686203751989,1637686203752782,1637686203805892,0,1637686203805894
4,2,4,1637686206531689,1637686206531700,1637686206531800,1637686206532544,1637686206992391,1637686206998729,1637686206998793
5,1,6,1637686209953764,1637686209953768,1637686209955720,1637686209956332,1637686210063738,0,1637686210063751
6,2,6,1637686213524345,1637686213524359,1637686213524376,1637686213524880,1637686214063639,1637686214064910,1637686214064916
7,1,8,1637686216620135,1637686216620141,1637686216622121,1637686216624319,1637686216742432,0,1637686216742435
8,2,8,1637686221052971,1637686221052991,1637686221053008,1637686221054325,1637686221877192,1637686221887804,1637686221887810
9,1,10,1637686224882628,1637686224882634,1637686224882684,1637686224887778,1637686224996086,0,1637686224996092
10,2,10,1637686229703258,1637686229703507,1637686229703998,1637686229705975,1637686230664445,1637686230668409,1637686230668416
1,1,12,1637686233226315,1637686233226321,1637686233227920,1637686233228595,1637686233378384,0,1637686233378386
2,2,12,1637686239012440,1637686239012466,1637686239012484,1637686239013099,1637686240157619,1637686240162261,1637686240162270
3,1,14,1637686243146264,1637686243146271,1637686243148338,1637686243150362,1637686243317383,0,1637686243317386
4,2,14,1637686248851587,1637686248851614,1637686248851632,1637686248855325,1637686249992165,1637686249998427,1637686249998447
