res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637686198682307,1637686198682309,1637686198682349,1637686198682356,1637686198682375,1637686198682383,1637686198682535,0,0,1637686198730557
2,2,2,1637686200587968,1637686200587970,1637686200587999,1637686200588001,1637686200588169,1637686200588178,1637686200588181,1637686200777152,1637686200783933,1637686200783977
3,1,4,1637686203717856,1637686203717858,1637686203717903,1637686203717905,1637686203717930,1637686203717937,1637686203718093,0,0,1637686203805249
4,2,4,1637686206523715,1637686206523718,1637686206523747,1637686206523750,1637686206524472,1637686206524480,1637686206524488,1637686206992129,1637686206998470,1637686206998537
5,1,6,1637686209952787,1637686209952789,1637686209952856,1637686209952859,1637686209952886,1637686209952893,1637686209953017,0,0,1637686210062958
6,2,6,1637686213507685,1637686213507687,1637686213507722,1637686213507726,1637686213507878,1637686213507887,1637686213507890,1637686214049921,1637686214064670,1637686214064767
7,1,8,1637686216618821,1637686216618823,1637686216618921,1637686216618924,1637686216618965,1637686216618971,1637686216619139,0,0,1637686216741282
8,2,8,1637686221030911,1637686221030913,1637686221030958,1637686221030961,1637686221031220,1637686221031229,1637686221031237,1637686221876939,1637686221887307,1637686221887451
9,1,10,1637686224866167,1637686224866169,1637686224866298,1637686224866301,1637686224866337,1637686224866345,1637686224866528,0,0,1637686224995059
10,2,10,1637686229649512,1637686229649515,1637686229649565,1637686229649567,1637686229649805,1637686229655588,1637686229655619,1637686230664037,1637686230668052,1637686230668243
1,1,12,1637686233225258,1637686233225260,1637686233225431,1637686233225433,1637686233225470,1637686233225478,1637686233225625,0,0,1637686233378186
2,2,12,1637686239005424,1637686239005426,1637686239005494,1637686239005497,1637686239005692,1637686239005792,1637686239005798,1637686240157282,1637686240161743,1637686240161991
3,1,14,1637686243144687,1637686243144690,1637686243144907,1637686243144910,1637686243144952,1637686243144960,1637686243145166,0,0,1637686243316891
4,2,14,1637686248839547,1637686248839549,1637686248839613,1637686248839616,1637686248839813,1637686248839893,1637686248839935,1637686249991912,1637686249997861,1637686249998167
