res_change_id, res_change_type, res_change_size,rc_publish_start,rc_publish_end,rc_apply_start,rc_apply_end,rc_unpublish,rc_finalize,rc_end
1,1,2,1637686260658188,1637686260658195,1637686260661799,1637686260663301,1637686263747652,0,1637686263747655
2,2,2,1637686265465253,1637686265465263,1637686265465281,1637686265465939,1637686265667723,1637686265674960,1637686265674984
3,1,4,1637686267857043,1637686267857046,1637686267858543,1637686267864668,1637686270359249,0,1637686270359251
4,2,4,1637686272791888,1637686272791899,1637686272791930,1637686272792322,1637686273239518,1637686273244747,1637686273244794
5,1,6,1637686275393958,1637686275393961,1637686275395778,1637686275398179,1637686277891144,0,1637686277891147
6,2,6,1637686280596177,1637686280596192,1637686280596473,1637686280597215,1637686280967914,1637686280986555,1637686280986561
7,1,8,1637686283050302,1637686283050308,1637686283052733,1637686283053458,1637686285609302,0,1637686285609309
8,2,8,1637686288559867,1637686288559884,1637686288559901,1637686288582076,1637686289241042,1637686289245947,1637686289245953
9,1,10,1637686291733789,1637686291733795,1637686291736376,1637686291747758,1637686293898215,0,1637686293898219
10,2,10,1637686297780346,1637686297780371,1637686297780389,1637686297783238,1637686298792257,1637686298796808,1637686298796817
1,1,12,1637686301316385,1637686301316393,1637686301316411,1637686301329001,1637686303998096,0,1637686303998126
2,2,12,1637686308583023,1637686308583049,1637686308583067,1637686308583421,1637686309865957,1637686309870307,1637686309870317
3,1,14,1637686312438911,1637686312438918,1637686312440861,1637686312441836,1637686314604837,0,1637686314604843
