res_change_id, res_change_type, res_change_size, rc_start, jdata_start, jdata_end, pset_start, rc_publish_start, apply_start, rc_end1, rc_deregistered, rc_finalized, rc_end2;
1,1,2,1637686260656336,1637686260656351,1637686260656402,1637686260656410,1637686260656438,1637686260656450,1637686260656714,0,0,1637686263746735
2,2,2,1637686265461729,1637686265461731,1637686265461760,1637686265461763,1637686265461966,1637686265461974,1637686265461993,1637686265667484,1637686265674661,1637686265674704
3,1,4,1637686267856220,1637686267856222,1637686267856265,1637686267856268,1637686267856292,1637686267856299,1637686267856462,0,0,1637686270358855
4,2,4,1637686272779711,1637686272779713,1637686272779742,1637686272779745,1637686272783394,1637686272783494,1637686272783502,1637686273238916,1637686273244488,1637686273244565
5,1,6,1637686275392962,1637686275392964,1637686275393033,1637686275393035,1637686275393064,1637686275393071,1637686275393252,0,0,1637686277890478
6,2,6,1637686280575538,1637686280575541,1637686280575577,1637686280575580,1637686280576461,1637686280576469,1637686280576477,1637686280967738,1637686280986291,1637686280986394
7,1,8,1637686283048611,1637686283048612,1637686283048719,1637686283048721,1637686283048763,1637686283048772,1637686283048970,0,0,1637686285608479
8,2,8,1637686288555764,1637686288555766,1637686288555809,1637686288555812,1637686288555978,1637686288555987,1637686288556004,1637686289240875,1637686289245630,1637686289245767
9,1,10,1637686291732662,1637686291732664,1637686291732788,1637686291732791,1637686291732826,1637686291732833,1637686291733000,0,0,1637686293897576
10,2,10,1637686297735636,1637686297735638,1637686297735687,1637686297735690,1637686297735866,1637686297735874,1637686297735878,1637686298791768,1637686298796330,1637686298796522
1,1,12,1637686301304994,1637686301304996,1637686301305175,1637686301305178,1637686301305217,1637686301305223,1637686301305415,0,0,1637686303995584
2,2,12,1637686308580192,1637686308580195,1637686308580256,1637686308580260,1637686308580451,1637686308580460,1637686308580478,1637686309865511,1637686309869750,1637686309870022
3,1,14,1637686312436846,1637686312436848,1637686312437193,1637686312437196,1637686312437238,1637686312437245,1637686312437765,0,0,1637686314603861
