iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,16,0,0,1637671606132714,0,0,0,0,0,0,1637671605619976,1637671605999405,1637671606034294,1637671606132715
2,0,16,0,0,1637671606575256,0,0,0,0,0,0,1637671606151284,1637671606318943,1637671606354669,1637671606575256
3,0,16,0,0,1637671607005806,0,0,0,0,0,0,1637671606575269,1637671606826938,1637671607005601,1637671607005806
4,0,16,0,0,1637671607511825,0,0,0,0,0,0,1637671607005846,1637671607190198,1637671607296586,1637671607511825
5,0,16,0,0,1637671607859409,0,0,0,0,0,0,1637671607511847,1637671607715198,1637671607811746,1637671607859409
6,0,16,0,0,1637671608188874,0,0,0,0,0,0,1637671607859428,1637671608027402,1637671608077079,1637671608188874
7,0,16,0,0,1637671608647965,0,0,0,0,0,0,1637671608188917,1637671608357936,1637671608471074,1637671608647965
8,0,16,0,0,1637671609159629,0,0,0,0,0,0,1637671608648072,1637671608955412,1637671609041203,1637671609159629
9,0,16,0,0,1637671609617828,0,0,0,0,0,0,1637671609159651,1637671609458867,1637671609617710,1637671609617828
10,0,16,0,0,1637671610092469,0,0,0,0,0,0,1637671609617855,1637671609791460,1637671609882757,1637671610092469
11,1,16,-2,1,1637671610587141,1637671610587156,1637671610641763,1637671610915880,1637671611235601,1637671611235605,1637671611335401,1637671610092495,1637671610331261,1637671610414571,1637671611335514
12,0,14,0,0,1637671611915911,0,0,0,0,0,0,1637671611335536,1637671611551357,1637671611636594,1637671611915911
13,0,14,0,0,1637671612243475,0,0,0,0,0,0,1637671611916016,1637671612147564,1637671612193325,1637671612243475
14,0,14,0,0,1637671612775498,0,0,0,0,0,0,1637671612243488,1637671612475160,1637671612542378,1637671612775498
15,0,14,0,0,1637671613075662,0,0,0,0,0,0,1637671612775543,1637671612867476,1637671612946529,1637671613075662
16,0,14,0,0,1637671613560549,0,0,0,0,0,0,1637671613075679,1637671613291470,1637671613353677,1637671613560549
17,0,14,0,0,1637671614016064,0,0,0,0,0,0,1637671613560564,1637671613727194,1637671613823669,1637671614016064
18,0,14,0,0,1637671614627272,0,0,0,0,0,0,1637671614016079,1637671614128711,1637671614211257,1637671614627272
19,0,14,0,0,1637671614995604,0,0,0,0,0,0,1637671614627301,1637671614655570,1637671614832651,1637671614995605
20,0,14,0,0,1637671615635439,0,0,0,0,0,0,1637671614995632,1637671615211325,1637671615385004,1637671615635439
21,0,14,0,0,1637671616063890,0,0,0,0,0,0,1637671615635461,1637671615723769,1637671615790989,1637671616063890
22,2,14,-2,1,1637671616595409,1637671616595421,1637671616659941,1637671616783447,1637671617009284,1637671617009288,1637671617112501,1637671616063910,1637671616379097,1637671616481842,1637671617112580
23,0,12,0,0,1637671617506797,0,0,0,0,0,0,1637671617112601,1637671617218912,1637671617301214,1637671617506797
24,0,12,0,0,1637671617857918,0,0,0,0,0,0,1637671617506819,1637671617506997,1637671617608574,1637671617857918
25,0,12,0,0,1637671618250353,0,0,0,0,0,0,1637671617857937,1637671617937835,1637671618045295,1637671618250353
26,0,12,0,0,1637671618600251,0,0,0,0,0,0,1637671618250377,1637671618339340,1637671618433895,1637671618600251
27,0,12,0,0,1637671618882738,0,0,0,0,0,0,1637671618600266,1637671618643327,1637671618751532,1637671618882738
28,0,12,0,0,1637671619431102,0,0,0,0,0,0,1637671618882759,1637671619051661,1637671619155299,1637671619431102
29,0,12,0,0,1637671619807411,0,0,0,0,0,0,1637671619431116,1637671619539330,1637671619689538,1637671619807411
30,0,12,0,0,1637671620107490,0,0,0,0,0,0,1637671619807441,1637671619907126,1637671619998703,1637671620107490
31,0,12,0,0,1637671620559260,0,0,0,0,0,0,1637671620107520,1637671620211241,1637671620288489,1637671620559260
32,0,12,0,0,1637671620878638,0,0,0,0,0,0,1637671620559285,1637671620619137,1637671620690687,1637671620878638
33,3,12,-2,1,1637671621248346,1637671621248356,1637671621302549,1637671621331730,1637671621695832,1637671621695837,1637671621767546,1637671620878664,1637671620975187,1637671621031518,1637671621767623
34,0,10,0,0,1637671621961711,0,0,0,0,0,0,1637671621767646,1637671621823446,1637671621961579,1637671621961711
35,0,10,0,0,1637671622331229,0,0,0,0,0,0,1637671621961737,1637671622198474,1637671622241536,1637671622331230
36,0,10,0,0,1637671622660761,0,0,0,0,0,0,1637671622331250,1637671622369275,1637671622459451,1637671622660761
37,0,10,0,0,1637671622951827,0,0,0,0,0,0,1637671622660934,1637671622736223,1637671622860411,1637671622951828
38,0,10,0,0,1637671623183183,0,0,0,0,0,0,1637671622951855,1637671623025036,1637671623078290,1637671623183183
39,0,10,0,0,1637671623482414,0,0,0,0,0,0,1637671623183205,1637671623279256,1637671623363204,1637671623482414
40,0,10,0,0,1637671623755298,0,0,0,0,0,0,1637671623482441,1637671623541701,1637671623613436,1637671623755298
41,0,10,0,0,1637671624207193,0,0,0,0,0,0,1637671623755313,1637671623855602,1637671623976942,1637671624207193
42,0,10,0,0,1637671624411134,0,0,0,0,0,0,1637671624207226,1637671624230595,1637671624399077,1637671624411134
43,0,10,0,0,1637671624608477,0,0,0,0,0,0,1637671624411149,1637671624465796,1637671624608310,1637671624608477
44,4,10,-2,1,1637671624846135,1637671624846146,1637671624991401,1637671625019300,1637671625210556,1637671625210559,1637671625263434,1637671624608501,1637671624734228,1637671624842782,1637671625263498
45,0,8,0,0,1637671625445464,0,0,0,0,0,0,1637671625263525,1637671625312705,1637671625386134,1637671625445464
46,0,8,0,0,1637671625598119,0,0,0,0,0,0,1637671625445486,1637671625468955,1637671625549904,1637671625598120
47,0,8,0,0,1637671625829185,0,0,0,0,0,0,1637671625598149,1637671625695420,1637671625829046,1637671625829185
48,0,8,0,0,1637671626071452,0,0,0,0,0,0,1637671625829216,1637671625903101,1637671626022305,1637671626071453
49,0,8,0,0,1637671626298385,0,0,0,0,0,0,1637671626071487,1637671626106000,1637671626298307,1637671626298385
50,0,8,0,0,1637671626483579,0,0,0,0,0,0,1637671626298411,1637671626351636,1637671626404614,1637671626483579
51,0,8,0,0,1637671626763502,0,0,0,0,0,0,1637671626483604,1637671626524207,1637671626659480,1637671626763503
52,0,8,0,0,1637671626996575,0,0,0,0,0,0,1637671626763525,1637671626791390,1637671626894275,1637671626996576
53,0,8,0,0,1637671627188477,0,0,0,0,0,0,1637671626996642,1637671626996795,1637671627102987,1637671627188477
54,0,8,0,0,1637671627401935,0,0,0,0,0,0,1637671627188521,1637671627211128,1637671627401832,1637671627401935
55,5,8,-2,1,1637671627595269,1637671627595279,1637671627612464,1637671627627469,1637671627786627,1637671627786630,1637671627843604,1637671627401964,1637671627475913,1637671627542921,1637671627843628
56,0,6,0,0,1637671628075822,0,0,0,0,0,0,1637671627843653,1637671627907833,1637671628012761,1637671628075822
57,0,6,0,0,1637671628258624,0,0,0,0,0,0,1637671628075845,1637671628105076,1637671628149921,1637671628258625
58,0,6,0,0,1637671628487512,0,0,0,0,0,0,1637671628259018,1637671628281430,1637671628342796,1637671628487512
59,0,6,0,0,1637671628695490,0,0,0,0,0,0,1637671628487543,1637671628538263,1637671628630594,1637671628695490
60,0,6,0,0,1637671628939936,0,0,0,0,0,0,1637671628695525,1637671628759555,1637671628910536,1637671628939937
61,0,6,0,0,1637671629120618,0,0,0,0,0,0,1637671628940181,1637671628963495,1637671629075302,1637671629120618
62,0,6,0,0,1637671629255540,0,0,0,0,0,0,1637671629120640,1637671629128330,1637671629237459,1637671629255540
63,0,6,0,0,1637671629409199,0,0,0,0,0,0,1637671629255571,1637671629275858,1637671629409081,1637671629409199
64,0,6,0,0,1637671629595330,0,0,0,0,0,0,1637671629429487,1637671629455664,1637671629515203,1637671629595330
65,0,6,0,0,1637671629762735,0,0,0,0,0,0,1637671629595364,1637671629614071,1637671629762117,1637671629762735
66,6,6,-2,1,1637671629947346,1637671629947366,1637671629966853,1637671629968093,1637671630082697,1637671630082700,1637671630095643,1637671629762901,1637671629785487,1637671629912072,1637671630095661
67,0,4,0,0,1637671630199661,0,0,0,0,0,0,1637671630095686,1637671630096592,1637671630196546,1637671630199661
68,0,4,0,0,1637671630304061,0,0,0,0,0,0,1637671630199681,1637671630199865,1637671630272710,1637671630304061
69,0,4,0,0,1637671630400867,0,0,0,0,0,0,1637671630304092,1637671630304834,1637671630376026,1637671630400867
70,0,4,0,0,1637671630514378,0,0,0,0,0,0,1637671630400898,1637671630408445,1637671630505285,1637671630514378
71,0,4,0,0,1637671630613944,0,0,0,0,0,0,1637671630514411,1637671630515741,1637671630609937,1637671630613944
72,0,4,0,0,1637671630725101,0,0,0,0,0,0,1637671630613974,1637671630614492,1637671630724955,1637671630725101
73,0,4,0,0,1637671630826609,0,0,0,0,0,0,1637671630725128,1637671630725988,1637671630823182,1637671630826610
74,0,4,0,0,1637671630928015,0,0,0,0,0,0,1637671630826645,1637671630828541,1637671630919420,1637671630928015
75,0,4,0,0,1637671631029810,0,0,0,0,0,0,1637671630928040,1637671630928514,1637671631023285,1637671631029810
76,0,4,0,0,1637671631138616,0,0,0,0,0,0,1637671631029840,1637671631030848,1637671631124507,1637671631138616
77,7,4,-2,1,1637671631238484,1637671631238495,1637671631243442,1637671631245925,1637671631251149,1637671631251152,1637671631295752,1637671631138642,1637671631139557,1637671631233856,1637671631295773
78,0,2,0,0,1637671631452530,0,0,0,0,0,0,1637671631295860,1637671631295933,1637671631452512,1637671631452530
79,0,2,0,0,1637671631639350,0,0,0,0,0,0,1637671631452559,1637671631452563,1637671631600346,1637671631639350
80,0,2,0,0,1637671631809510,0,0,0,0,0,0,1637671631639384,1637671631639390,1637671631783154,1637671631809510
