iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,16,0,0,1637671639803929,0,0,0,0,0,0,1637671639251544,1637671639543493,1637671639679808,1637671639803929
2,0,16,0,0,1637671640282003,0,0,0,0,0,0,1637671639803955,1637671640143606,1637671640209391,1637671640282003
3,0,16,0,0,1637671640605526,0,0,0,0,0,0,1637671640282026,1637671640391406,1637671640482238,1637671640605526
4,0,16,0,0,1637671641007602,0,0,0,0,0,0,1637671640605545,1637671640781019,1637671640858438,1637671641007602
5,0,16,0,0,1637671641431090,0,0,0,0,0,0,1637671641007617,1637671641175247,1637671641430965,1637671641431090
6,0,16,0,0,1637671641918218,0,0,0,0,0,0,1637671641431114,1637671641583517,1637671641717593,1637671641918218
7,0,16,0,0,1637671642459401,0,0,0,0,0,0,1637671641918242,1637671642123046,1637671642229080,1637671642459401
8,0,16,0,0,1637671642745988,0,0,0,0,0,0,1637671642459424,1637671642459510,1637671642658664,1637671642745988
9,0,16,0,0,1637671643227551,0,0,0,0,0,0,1637671642746009,1637671642971461,1637671643092585,1637671643227551
10,0,16,0,0,1637671643848190,0,0,0,0,0,0,1637671643227565,1637671643394907,1637671643503314,1637671643848190
11,1,16,-2,1,1637671644312067,1637671644312084,1637671644370429,1637671644394944,1637671644844887,1637671644844890,1637671644931487,1637671643848230,1637671643867152,1637671643987527,1637671644931593
12,0,14,0,0,1637671645394060,0,0,0,0,0,0,1637671644931607,1637671645119327,1637671645152250,1637671645394060
13,0,14,0,0,1637671645859482,0,0,0,0,0,0,1637671645394088,1637671645519392,1637671645605984,1637671645859482
14,0,14,0,0,1637671646271327,0,0,0,0,0,0,1637671645859502,1637671646067127,1637671646154521,1637671646271327
15,0,14,0,0,1637671646783872,0,0,0,0,0,0,1637671646271347,1637671646459197,1637671646534393,1637671646783872
16,0,14,0,0,1637671647199857,0,0,0,0,0,0,1637671646783892,1637671646852147,1637671646940491,1637671647199857
17,0,14,0,0,1637671647667428,0,0,0,0,0,0,1637671647199881,1637671647200414,1637671647230924,1637671647667428
18,0,14,0,0,1637671647885026,0,0,0,0,0,0,1637671647671421,1637671647675712,1637671647769469,1637671647885026
19,0,14,0,0,1637671648183968,0,0,0,0,0,0,1637671647885079,1637671647983510,1637671648045796,1637671648183968
20,0,14,0,0,1637671648540342,0,0,0,0,0,0,1637671648183989,1637671648284677,1637671648353629,1637671648540342
21,0,14,0,0,1637671648799716,0,0,0,0,0,0,1637671648547540,1637671648584675,1637671648689108,1637671648799716
22,2,14,-2,1,1637671649195464,1637671649195475,1637671649226333,1637671649256571,1637671649533585,1637671649533588,1637671649627650,1637671648799738,1637671648911419,1637671648983635,1637671649627731
23,0,12,0,0,1637671650043712,0,0,0,0,0,0,1637671649627745,1637671649698609,1637671649791501,1637671650043712
24,0,12,0,0,1637671650414768,0,0,0,0,0,0,1637671650043743,1637671650065299,1637671650102382,1637671650415646
