iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,2,0,0,1637671523709942,0,0,0,0,0,0,1637671523552686,1637671523552732,1637671523709931,1637671523709942
2,0,2,0,0,1637671523856417,0,0,0,0,0,0,1637671523709964,1637671523709984,1637671523856406,1637671523856417
3,0,2,0,0,1637671524023506,0,0,0,0,0,0,1637671523856442,1637671523856469,1637671524021850,1637671524023507
4,0,2,0,0,1637671524188274,0,0,0,0,0,0,1637671524023534,1637671524023599,1637671524170437,1637671524188274
5,0,2,0,0,1637671524353117,0,0,0,0,0,0,1637671524188298,1637671524188327,1637671524353097,1637671524353117
6,0,2,0,0,1637671524523454,0,0,0,0,0,0,1637671524353133,1637671524353154,1637671524497641,1637671524523454
7,0,2,0,0,1637671524667456,0,0,0,0,0,0,1637671524523487,1637671524523503,1637671524667445,1637671524667456
8,0,2,0,0,1637671524832584,0,0,0,0,0,0,1637671524667482,1637671524667511,1637671524810925,1637671524832584
9,0,2,0,0,1637671524980376,0,0,0,0,0,0,1637671524832607,1637671524832619,1637671524980366,1637671524980376
10,0,2,0,0,1637671525148553,0,0,0,0,0,0,1637671524980406,1637671524980410,1637671525148542,1637671525148553
11,1,2,2,1,1637671525292714,1637671525292733,1637671525303686,1637671525324335,1637671525375356,1637671525375358,1637671525431280,1637671525148579,1637671525148611,1637671525292704,1637671525431305
12,0,4,0,0,1637671525543848,0,0,0,0,0,0,1637671525431326,1637671525431828,1637671525500958,1637671525543848
13,0,4,0,0,1637671525661125,0,0,0,0,0,0,1637671525543871,1637671525544405,1637671525626118,1637671525661125
14,0,4,0,0,1637671525776791,0,0,0,0,0,0,1637671525661151,1637671525661399,1637671525772665,1637671525776791
15,0,4,0,0,1637671525896845,0,0,0,0,0,0,1637671525776982,1637671525777385,1637671525891631,1637671525896845
16,0,4,0,0,1637671526032619,0,0,0,0,0,0,1637671525896862,1637671525912631,1637671526021545,1637671526032620
17,0,4,0,0,1637671526167236,0,0,0,0,0,0,1637671526032645,1637671526041388,1637671526145733,1637671526167237
18,0,4,0,0,1637671526272667,0,0,0,0,0,0,1637671526167258,1637671526167951,1637671526240853,1637671526272668
19,0,4,0,0,1637671526387367,0,0,0,0,0,0,1637671526272695,1637671526273356,1637671526341358,1637671526387367
20,0,4,0,0,1637671526499841,0,0,0,0,0,0,1637671526387397,1637671526388036,1637671526481564,1637671526499842
21,0,4,0,0,1637671526608760,0,0,0,0,0,0,1637671526499865,1637671526500394,1637671526594814,1637671526608761
22,2,4,2,1,1637671526739492,1637671526739502,1637671526747712,1637671526763645,1637671526917386,1637671526917388,1637671526939748,1637671526608790,1637671526609029,1637671526710525,1637671526939768
23,0,6,0,0,1637671527199408,0,0,0,0,0,0,1637671526939789,1637671527001176,1637671527096092,1637671527199408
24,0,6,0,0,1637671527368550,0,0,0,0,0,0,1637671527199431,1637671527239494,1637671527368413,1637671527368550
25,0,6,0,0,1637671527622907,0,0,0,0,0,0,1637671527368567,1637671527429260,1637671527532284,1637671527622907
26,0,6,0,0,1637671527823093,0,0,0,0,0,0,1637671527622923,1637671527651363,1637671527739814,1637671527823093
27,0,6,0,0,1637671527971364,0,0,0,0,0,0,1637671527823113,1637671527827812,1637671527891458,1637671527971364
28,0,6,0,0,1637671528160032,0,0,0,0,0,0,1637671527971413,1637671527994670,1637671528093664,1637671528160033
29,0,6,0,0,1637671528391316,0,0,0,0,0,0,1637671528160051,1637671528203719,1637671528307032,1637671528391316
30,0,6,0,0,1637671528583279,0,0,0,0,0,0,1637671528391339,1637671528413298,1637671528568905,1637671528583279
31,0,6,0,0,1637671528753870,0,0,0,0,0,0,1637671528583310,1637671528587868,1637671528753722,1637671528753870
