iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,2,0,0,1637671564107136,0,0,0,0,0,0,1637671563905301,1637671563905314,1637671564079803,1637671564107136
2,0,2,0,0,1637671564274486,0,0,0,0,0,0,1637671564107164,1637671564107170,1637671564274466,1637671564274486
3,0,2,0,0,1637671564458836,0,0,0,0,0,0,1637671564274530,1637671564292290,1637671564458821,1637671564458836
4,0,2,0,0,1637671564620269,0,0,0,0,0,0,1637671564458866,1637671564458870,1637671564602820,1637671564620269
5,0,2,0,0,1637671564784253,0,0,0,0,0,0,1637671564620296,1637671564620301,1637671564784242,1637671564784253
6,0,2,0,0,1637671564971653,0,0,0,0,0,0,1637671564784282,1637671564803747,1637671564947241,1637671564971653
7,0,2,0,0,1637671565121706,0,0,0,0,0,0,1637671564971721,1637671564971807,1637671565119342,1637671565121707
8,0,2,0,0,1637671565285345,0,0,0,0,0,0,1637671565121752,1637671565121758,1637671565285334,1637671565285345
9,0,2,0,0,1637671565446417,0,0,0,0,0,0,1637671565285372,1637671565285376,1637671565429642,1637671565446418
10,0,2,0,0,1637671565610536,0,0,0,0,0,0,1637671565446445,1637671565446450,1637671565610526,1637671565610537
11,1,2,2,1,1637671565758927,1637671565758947,1637671565761486,1637671565762057,1637671565797259,1637671565797263,1637671565818588,1637671565610564,1637671565610568,1637671565758913,1637671565818626
12,0,4,0,0,1637671565937580,0,0,0,0,0,0,1637671565818649,1637671565819398,1637671565904836,1637671565937580
13,0,4,0,0,1637671566058001,0,0,0,0,0,0,1637671565937747,1637671565939596,1637671566043719,1637671566058001
14,0,4,0,0,1637671566203915,0,0,0,0,0,0,1637671566058023,1637671566058442,1637671566143339,1637671566203915
15,0,4,0,0,1637671566325189,0,0,0,0,0,0,1637671566203938,1637671566204319,1637671566308676,1637671566325189
16,0,4,0,0,1637671566455930,0,0,0,0,0,0,1637671566325216,1637671566344679,1637671566435487,1637671566455930
17,0,4,0,0,1637671566589588,0,0,0,0,0,0,1637671566455950,1637671566456727,1637671566542854,1637671566589588
18,0,4,0,0,1637671566719242,0,0,0,0,0,0,1637671566589611,1637671566590070,1637671566678843,1637671566719242
19,0,4,0,0,1637671566836144,0,0,0,0,0,0,1637671566719269,1637671566719868,1637671566787348,1637671566836144
20,0,4,0,0,1637671566955442,0,0,0,0,0,0,1637671566836167,1637671566836541,1637671566904721,1637671566955443
21,0,4,0,0,1637671567110383,0,0,0,0,0,0,1637671566955484,1637671566968778,1637671567067914,1637671567110383
22,2,4,2,1,1637671567244279,1637671567244289,1637671567246313,1637671567246819,1637671567353106,1637671567353109,1637671567391649,1637671567110406,1637671567131420,1637671567200714,1637671567391670
23,0,6,0,0,1637671567567210,0,0,0,0,0,0,1637671567391694,1637671567417460,1637671567518536,1637671567567210
24,0,6,0,0,1637671567771494,0,0,0,0,0,0,1637671567567236,1637671567599395,1637671567678407,1637671567771494
25,0,6,0,0,1637671568011710,0,0,0,0,0,0,1637671567771511,1637671567814620,1637671567924764,1637671568011710
26,0,6,0,0,1637671568225391,0,0,0,0,0,0,1637671568011740,1637671568022665,1637671568134229,1637671568225391
27,0,6,0,0,1637671568381568,0,0,0,0,0,0,1637671568225414,1637671568243710,1637671568308641,1637671568381569
28,0,6,0,0,1637671568543708,0,0,0,0,0,0,1637671568381585,1637671568412885,1637671568493651,1637671568543708
29,0,6,0,0,1637671568751585,0,0,0,0,0,0,1637671568543730,1637671568550040,1637671568679806,1637671568751585
30,0,6,0,0,1637671568984265,0,0,0,0,0,0,1637671568751607,1637671568799863,1637671568919850,1637671568984265
31,0,6,0,0,1637671569247437,0,0,0,0,0,0,1637671568984288,1637671569043547,1637671569162078,1637671569247437
32,0,6,0,0,1637671569434647,0,0,0,0,0,0,1637671569247453,1637671569268073,1637671569379118,1637671569434647
33,3,6,2,1,1637671569631771,1637671569631782,1637671569708157,1637671569708894,1637671569781882,1637671569781884,1637671569863574,1637671569434675,1637671569451190,1637671569530344,1637671569863619
34,0,8,0,0,1637671570026858,0,0,0,0,0,0,1637671569863633,1637671569879559,1637671570026703,1637671570026858
35,0,8,0,0,1637671570281118,0,0,0,0,0,0,1637671570026904,1637671570075501,1637671570189378,1637671570281118
36,0,8,0,0,1637671570474241,0,0,0,0,0,0,1637671570281140,1637671570297000,1637671570398314,1637671570474241
37,0,8,0,0,1637671570791807,0,0,0,0,0,0,1637671570474258,1637671570539455,1637671570603682,1637671570791807
38,0,8,0,0,1637671571031454,0,0,0,0,0,0,1637671570791824,1637671570846777,1637671570916781,1637671571031454
39,0,8,0,0,1637671571216753,0,0,0,0,0,0,1637671571031480,1637671571031864,1637671571216642,1637671571216753
40,0,8,0,0,1637671571390230,0,0,0,0,0,0,1637671571216792,1637671571235449,1637671571343141,1637671571390230
41,0,8,0,0,1637671571713667,0,0,0,0,0,0,1637671571390253,1637671571479486,1637671571574036,1637671571713667
42,0,8,0,0,1637671571985546,0,0,0,0,0,0,1637671571713700,1637671571745792,1637671571807582,1637671571985546
43,0,8,0,0,1637671572147567,0,0,0,0,0,0,1637671571985575,1637671571985631,1637671572050845,1637671572147567
44,4,8,2,1,1637671572295756,1637671572295766,1637671572317370,1637671572343126,1637671572435814,1637671572435816,1637671572471513,1637671572147589,1637671572159176,1637671572226513,1637671572482967
45,0,10,0,0,1637671572872039,0,0,0,0,0,0,1637671572482983,1637671572663470,1637671572856904,1637671572872039
46,0,10,0,0,1637671573072792,0,0,0,0,0,0,1637671572872069,1637671572882012,1637671572969074,1637671573072792
47,0,10,0,0,1637671573377010,0,0,0,0,0,0,1637671573072815,1637671573183332,1637671573256727,1637671573377010
48,0,10,0,0,1637671573691959,0,0,0,0,0,0,1637671573377062,1637671573451471,1637671573533905,1637671573691960
49,0,10,0,0,1637671573993801,0,0,0,0,0,0,1637671573691987,1637671573799455,1637671573868853,1637671573993801
50,0,10,0,0,1637671574267241,0,0,0,0,0,0,1637671573993843,1637671574055385,1637671574160471,1637671574267241
51,0,10,0,0,1637671574589492,0,0,0,0,0,0,1637671574267258,1637671574381122,1637671574469448,1637671574589492
52,0,10,0,0,1637671574867475,0,0,0,0,0,0,1637671574589509,1637671574696872,1637671574783579,1637671574867475
53,0,10,0,0,1637671575159358,0,0,0,0,0,0,1637671574867506,1637671574907285,1637671575002463,1637671575159358
54,0,10,0,0,1637671575443451,0,0,0,0,0,0,1637671575159383,1637671575239586,1637671575433254,1637671575443451
55,5,10,2,1,1637671575695356,1637671575695366,1637671575713088,1637671575735218,1637671576054831,1637671576054834,1637671576123629,1637671575443473,1637671575531640,1637671575650086,1637671576123710
56,0,12,0,0,1637671576635649,0,0,0,0,0,0,1637671576123726,1637671576311140,1637671576384790,1637671576635649
57,0,12,0,0,1637671576878942,0,0,0,0,0,0,1637671576635742,1637671576635888,1637671576716054,1637671576878942
58,0,12,0,0,1637671577276791,0,0,0,0,0,0,1637671576878966,1637671576943357,1637671577039081,1637671577276791
59,0,12,0,0,1637671577705583,0,0,0,0,0,0,1637671577276819,1637671577487507,1637671577579444,1637671577705583
60,0,12,0,0,1637671578103162,0,0,0,0,0,0,1637671577705606,1637671577811938,1637671577888128,1637671578103162
61,0,12,0,0,1637671578441075,0,0,0,0,0,0,1637671578103188,1637671578263334,1637671578419373,1637671578441075
62,0,12,0,0,1637671578837705,0,0,0,0,0,0,1637671578441113,1637671578524814,1637671578636506,1637671578837705
63,0,12,0,0,1637671579219864,0,0,0,0,0,0,1637671578837729,1637671578903500,1637671578991593,1637671579219864
64,0,12,0,0,1637671579575427,0,0,0,0,0,0,1637671579219966,1637671579255429,1637671579352424,1637671579575427
65,0,12,0,0,1637671579923106,0,0,0,0,0,0,1637671579575459,1637671579619521,1637671579677860,1637671579923106
66,6,12,2,1,1637671580296434,1637671580296443,1637671580339200,1637671580339899,1637671580672679,1637671580672682,1637671580743955,1637671579923123,1637671580122970,1637671580296284,1637671580745922
