iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,4,0,0,1637680947093209,0,0,0,0,0,0,1637680946936086,1637680946937222,1637680947012918,1637680947093209
2,0,4,0,0,1637680947265569,0,0,0,0,0,0,1637680947096943,1637680947097646,1637680947202195,1637680947265569
3,0,4,0,0,1637680947367660,0,0,0,0,0,0,1637680947266036,1637680947267037,1637680947337635,1637680947367660
4,0,4,0,0,1637680947485263,0,0,0,0,0,0,1637680947367684,1637680947367753,1637680947434058,1637680947485263
5,0,4,0,0,1637680947572360,0,0,0,0,0,0,1637680947485289,1637680947485440,1637680947549767,1637680947572360
6,0,4,0,0,1637680947701383,0,0,0,0,0,0,1637680947573077,1637680947573228,1637680947700853,1637680947701383
7,0,4,0,0,1637680947802397,0,0,0,0,0,0,1637680947701412,1637680947702177,1637680947801845,1637680947802397
8,0,4,0,0,1637680947898143,0,0,0,0,0,0,1637680947802423,1637680947802717,1637680947898007,1637680947898143
9,0,4,0,0,1637680947999269,0,0,0,0,0,0,1637680947898571,1637680947898874,1637680947999056,1637680947999269
10,0,4,0,0,1637680948106547,0,0,0,0,0,0,1637680947999758,1637680948000059,1637680948106392,1637680948106547
11,1,4,2,1,1637680948207250,1637680948207281,1637680948217460,1637680948219812,1637680948270151,1637680948270154,1637680948288970,1637680948107051,1637680948107227,1637680948207148,1637680948289054
12,0,6,0,0,1637680948442125,0,0,0,0,0,0,1637680948289084,1637680948301835,1637680948397448,1637680948442125
13,0,6,0,0,1637680948603109,0,0,0,0,0,0,1637680948442151,1637680948465345,1637680948540511,1637680948603537
14,0,6,0,0,1637680948762946,0,0,0,0,0,0,1637680948603562,1637680948604072,1637680948649251,1637680948762946
15,0,6,0,0,1637680948935470,0,0,0,0,0,0,1637680948762985,1637680948807542,1637680948890541,1637680948935470
16,0,6,0,0,1637680949133076,0,0,0,0,0,0,1637680948935484,1637680948999214,1637680949087264,1637680949133076
17,0,6,0,0,1637680949286018,0,0,0,0,0,0,1637680949133093,1637680949144370,1637680949213543,1637680949286018
18,0,6,0,0,1637680949439702,0,0,0,0,0,0,1637680949286034,1637680949303941,1637680949358284,1637680949439702
19,0,6,0,0,1637680949627332,0,0,0,0,0,0,1637680949439724,1637680949463453,1637680949560448,1637680949627332
20,0,6,0,0,1637680949746785,0,0,0,0,0,0,1637680949628739,1637680949639731,1637680949682070,1637680949746785
21,0,6,0,0,1637680949907837,0,0,0,0,0,0,1637680949748415,1637680949775542,1637680949889343,1637680949907837
22,2,6,-2,1,1637680950075000,1637680950075011,1637680950107977,1637680950110663,1637680950194172,1637680950194175,1637680950243347,1637680949908169,1637680949915627,1637680950074853,1637680950243366
23,0,4,0,0,1637680950355391,0,0,0,0,0,0,1637680950243389,1637680950244253,1637680950328847,1637680950355391
24,0,4,0,0,1637680950457141,0,0,0,0,0,0,1637680950355405,1637680950356587,1637680950450392,1637680950457141
25,0,4,0,0,1637680950543149,0,0,0,0,0,0,1637680950457158,1637680950457722,1637680950542219,1637680950543149
26,0,4,0,0,1637680950640920,0,0,0,0,0,0,1637680950543163,1637680950556760,1637680950640846,1637680950640920
27,0,4,0,0,1637680950742595,0,0,0,0,0,0,1637680950640933,1637680950660011,1637680950742499,1637680950742595
28,0,4,0,0,1637680950848337,0,0,0,0,0,0,1637680950742609,1637680950764155,1637680950844144,1637680950848337
29,0,4,0,0,1637680950951281,0,0,0,0,0,0,1637680950848352,1637680950866150,1637680950951152,1637680950951281
30,0,4,0,0,1637680951073641,0,0,0,0,0,0,1637680950951302,1637680950968364,1637680951071961,1637680951073641
31,0,4,0,0,1637680951164064,0,0,0,0,0,0,1637680951074147,1637680951074506,1637680951163994,1637680951164064
32,0,4,0,0,1637680951254129,0,0,0,0,0,0,1637680951164077,1637680951171702,1637680951253971,1637680951254129
33,3,4,4,1,1637680951344088,1637680951344097,1637680951349879,1637680951371512,1637680951608841,1637680951608846,1637680951671542,1637680951254329,1637680951254381,1637680951317686,1637680951671893
34,0,8,0,0,1637680951870342,0,0,0,0,0,0,1637680951671909,1637680951693556,1637680951793263,1637680951870342
