iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,8,0,0,1637675056739807,0,0,0,0,0,0,1637675056519206,1637675056559379,1637675056642011,1637675056739807
2,0,8,0,0,1637675056919053,0,0,0,0,0,0,1637675056743226,1637675056752379,1637675056826657,1637675056919054
3,0,8,0,0,1637675057124285,0,0,0,0,0,0,1637675056919073,1637675056959105,1637675057106945,1637675057124285
4,0,8,0,0,1637675057304467,0,0,0,0,0,0,1637675057124449,1637675057159996,1637675057275132,1637675057304467
5,0,8,0,0,1637675057475367,0,0,0,0,0,0,1637675057304498,1637675057367368,1637675057463537,1637675057475368
6,0,8,0,0,1637675057676900,0,0,0,0,0,0,1637675057475388,1637675057483387,1637675057614102,1637675057676900
7,0,8,0,0,1637675057847634,0,0,0,0,0,0,1637675057676918,1637675057683956,1637675057760648,1637675057847634
8,0,8,0,0,1637675058051756,0,0,0,0,0,0,1637675057847651,1637675057872372,1637675057963681,1637675058051757
9,0,8,0,0,1637675058253726,0,0,0,0,0,0,1637675058051776,1637675058091268,1637675058152681,1637675058253726
10,0,8,0,0,1637675058455226,0,0,0,0,0,0,1637675058253884,1637675058291419,1637675058391357,1637675058455226
11,1,8,0,1,1637675058635810,1637675058635827,1637675058661615,1637675058764201,1637675058765771,0,1637675058765771,1637675058455240,1637675058474766,1637675058552027,1637675058765772
12,1,8,2,2,1637675058948470,1637675058948480,0,1637675058999762,1637675059078445,1637675059078445,1637675059127470,1637675058765794,1637675058812938,1637675058948376,1637675059140618
13,0,10,0,0,1637675059427663,0,0,0,0,0,0,1637675059140636,1637675059278866,1637675059337563,1637675059427663
14,0,10,0,0,1637675059623648,0,0,0,0,0,0,1637675059427682,1637675059432889,1637675059497684,1637675059623648
15,0,10,0,0,1637675059815754,0,0,0,0,0,0,1637675059623672,1637675059683846,1637675059743311,1637675059815754
16,0,10,0,0,1637675060047661,0,0,0,0,0,0,1637675059815775,1637675059860574,1637675060005677,1637675060047661
17,0,10,0,0,1637675060350477,0,0,0,0,0,0,1637675060047679,1637675060163603,1637675060248439,1637675060350477
18,0,10,0,0,1637675060548933,0,0,0,0,0,0,1637675060350522,1637675060384127,1637675060504055,1637675060548933
19,0,10,0,0,1637675060731657,0,0,0,0,0,0,1637675060548946,1637675060551908,1637675060648980,1637675060731657
20,0,10,0,0,1637675060985859,0,0,0,0,0,0,1637675060731676,1637675060803561,1637675060868717,1637675060985860
21,0,10,0,0,1637675061195351,0,0,0,0,0,0,1637675060985884,1637675061035351,1637675061126625,1637675061195351
22,0,10,0,0,1637675061488070,0,0,0,0,0,0,1637675061195365,1637675061320449,1637675061400017,1637675061488070
23,2,10,-2,1,1637675061667598,1637675061667610,1637675061670311,1637675061672735,1637675061819150,1637675061819150,1637675061899825,1637675061488090,1637675061488313,1637675061610603,1637675061899880
24,0,8,0,0,1637675062106328,0,0,0,0,0,0,1637675061899900,1637675061933587,1637675062106217,1637675062106328
25,0,8,0,0,1637675062382240,0,0,0,0,0,0,1637675062106356,1637675062173795,1637675062263576,1637675062382240
26,0,8,0,0,1637675062572688,0,0,0,0,0,0,1637675062382364,1637675062414374,1637675062557954,1637675062572689
27,0,8,0,0,1637675062823444,0,0,0,0,0,0,1637675062572705,1637675062683873,1637675062765596,1637675062823444
28,0,8,0,0,1637675063031054,0,0,0,0,0,0,1637675062823467,1637675062860608,1637675062922965,1637675063031054
29,0,8,0,0,1637675063283579,0,0,0,0,0,0,1637675063031128,1637675063119600,1637675063202981,1637675063283579
30,0,8,0,0,1637675063479662,0,0,0,0,0,0,1637675063283613,1637675063331339,1637675063424458,1637675063479662
31,0,8,0,0,1637675063727640,0,0,0,0,0,0,1637675063479682,1637675063491375,1637675063623634,1637675063727640
32,0,8,0,0,1637675063951334,0,0,0,0,0,0,1637675063727667,1637675063805791,1637675063911501,1637675063951335
33,0,8,0,0,1637675064207148,0,0,0,0,0,0,1637675063951354,1637675064003686,1637675064097058,1637675064207148
34,3,8,0,1,1637675064427486,1637675064427495,1637675064446791,1637675064534152,1637675064545193,0,1637675064545193,1637675064207169,1637675064243495,1637675064318899,1637675064545193
35,3,8,4,2,1637675064742044,1637675064742053,0,1637675064775315,1637675064880473,1637675064880474,1637675064967348,1637675064545219,1637675064601048,1637675064649825,1637675065008713
36,0,12,0,0,1637675065547181,0,0,0,0,0,0,1637675065008734,1637675065263563,1637675065334571,1637675065547181
37,0,12,0,0,1637675065878418,0,0,0,0,0,0,1637675065547210,1637675065587398,1637675065783547,1637675065878419
38,0,12,0,0,1637675066228981,0,0,0,0,0,0,1637675065878439,1637675066079999,1637675066228819,1637675066228981
39,0,12,0,0,1637675066711754,0,0,0,0,0,0,1637675066229005,1637675066463920,1637675066635473,1637675066711754
40,0,12,0,0,1637675066951319,0,0,0,0,0,0,1637675066711786,1637675066815554,1637675066865884,1637675066951319
41,0,12,0,0,1637675067239313,0,0,0,0,0,0,1637675066951340,1637675067036624,1637675067161171,1637675067239313
42,0,12,0,0,1637675067575545,0,0,0,0,0,0,1637675067239333,1637675067363706,1637675067465377,1637675067575546
43,0,12,0,0,1637675067920276,0,0,0,0,0,0,1637675067575566,1637675067575691,1637675067759586,1637675067920276
44,0,12,0,0,1637675068219684,0,0,0,0,0,0,1637675067920308,1637675067957916,1637675068035557,1637675068219685
45,0,12,0,0,1637675068523709,0,0,0,0,0,0,1637675068219708,1637675068268030,1637675068427146,1637675068523709
46,4,12,-4,1,1637675068963635,1637675068963644,1637675069066735,1637675069071700,1637675069395838,1637675069395838,1637675069452131,1637675068523729,1637675068691228,1637675068947367,1637675069452202
47,0,8,0,0,1637675069699327,0,0,0,0,0,0,1637675069452238,1637675069509339,1637675069600588,1637675069699327
48,0,8,0,0,1637675069963904,0,0,0,0,0,0,1637675069699356,1637675069708605,1637675069828323,1637675069963905
49,0,8,0,0,1637675070131979,0,0,0,0,0,0,1637675069963925,1637675070001695,1637675070047774,1637675070131979
50,0,8,0,0,1637675070431844,0,0,0,0,0,0,1637675070132005,1637675070196654,1637675070271452,1637675070431844
51,0,8,0,0,1637675070580171,0,0,0,0,0,0,1637675070431886,1637675070436163,1637675070537694,1637675070580171
52,0,8,0,0,1637675070784586,0,0,0,0,0,0,1637675070580196,1637675070647994,1637675070760232,1637675070784586
53,0,8,0,0,1637675071035625,0,0,0,0,0,0,1637675070784610,1637675070837993,1637675070934774,1637675071035625
54,0,8,0,0,1637675071259302,0,0,0,0,0,0,1637675071035656,1637675071035758,1637675071084106,1637675071259303
55,0,8,0,0,1637675071437899,0,0,0,0,0,0,1637675071259346,1637675071259416,1637675071337568,1637675071437900
56,0,8,0,0,1637675071821018,0,0,0,0,0,0,1637675071437941,1637675071491127,1637675071553872,1637675071821019
57,5,8,0,1,1637675072057882,1637675072057893,1637675072163765,1637675072191337,1637675072277107,0,1637675072277107,1637675071821052,1637675071875471,1637675072013809,1637675072277107
58,5,8,6,2,1637675072556371,1637675072556381,0,1637675072563719,1637675072668754,1637675072668754,1637675072762375,1637675072277151,1637675072320934,1637675072433518,1637675072779177
59,0,14,0,0,1637675073319733,0,0,0,0,0,0,1637675072779201,1637675073147377,1637675073216399,1637675073319733
60,0,14,0,0,1637675073903842,0,0,0,0,0,0,1637675073323200,1637675073567203,1637675073634124,1637675073903842
61,0,14,0,0,1637675074380779,0,0,0,0,0,0,1637675073903912,1637675074080322,1637675074142720,1637675074380779
62,0,14,0,0,1637675074796369,0,0,0,0,0,0,1637675074380825,1637675074430216,1637675074498392,1637675074796369
63,0,14,0,0,1637675075115468,0,0,0,0,0,0,1637675074796401,1637675074823527,1637675074925002,1637675075115468
64,0,14,0,0,1637675075435433,0,0,0,0,0,0,1637675075115527,1637675075247359,1637675075352098,1637675075435433
65,0,14,0,0,1637675075843668,0,0,0,0,0,0,1637675075435522,1637675075636007,1637675075727271,1637675075843668
66,0,14,0,0,1637675076258749,0,0,0,0,0,0,1637675075844050,1637675075959111,1637675076078224,1637675076258750
67,0,14,0,0,1637675076677646,0,0,0,0,0,0,1637675076258768,1637675076399707,1637675076513596,1637675076677646
68,0,14,0,0,1637675077083793,0,0,0,0,0,0,1637675076678472,1637675076850821,1637675076893905,1637675077083794
69,6,14,-6,1,1637675077647411,1637675077647420,1637675077779821,1637675077799876,1637675078135578,1637675078135578,1637675078167511,1637675077083823,1637675077211459,1637675077275297,1637675078167574
70,0,8,0,0,1637675078359550,0,0,0,0,0,0,1637675078167600,1637675078213853,1637675078299030,1637675078359551
71,0,8,0,0,1637675078529057,0,0,0,0,0,0,1637675078359575,1637675078389880,1637675078438353,1637675078529058
72,0,8,0,0,1637675078752050,0,0,0,0,0,0,1637675078529092,1637675078563422,1637675078703623,1637675078752050
73,0,8,0,0,1637675078942890,0,0,0,0,0,0,1637675078752082,1637675078773213,1637675078922158,1637675078942890
74,0,8,0,0,1637675079196695,0,0,0,0,0,0,1637675078943168,1637675079069087,1637675079155835,1637675079196695
75,0,8,0,0,1637675079372279,0,0,0,0,0,0,1637675079196715,1637675079247563,1637675079354636,1637675079372279
76,0,8,0,0,1637675079755263,0,0,0,0,0,0,1637675079372314,1637675079456095,1637675079503158,1637675079755263
77,0,8,0,0,1637675079991706,0,0,0,0,0,0,1637675079755305,1637675079827943,1637675079887027,1637675079991706
78,0,8,0,0,1637675080287456,0,0,0,0,0,0,1637675079991749,1637675080039207,1637675080192877,1637675080287456
79,0,8,0,0,1637675080569449,0,0,0,0,0,0,1637675080287485,1637675080351295,1637675080569291,1637675080569449
