iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,2,0,0,1665514903219219,0,0,0,0,0,0,1665514902971544,1665514902971571,1665514903210349,1665514903219219
2,0,2,0,0,1665514903460073,0,0,0,0,0,0,1665514903219229,1665514903219244,1665514903458010,1665514903460073
3,0,2,0,0,1665514903700162,0,0,0,0,0,0,1665514903460081,1665514903460091,1665514903700110,1665514903700162
4,0,2,0,0,1665514903943455,0,0,0,0,0,0,1665514903700177,1665514903700195,1665514903943371,1665514903943456
5,0,2,0,0,1665514904200598,0,0,0,0,0,0,1665514903943469,1665514903943490,1665514904200459,1665514904200598
6,0,2,0,0,1665514904447394,0,0,0,0,0,0,1665514904200607,1665514904200647,1665514904441481,1665514904447394
7,0,2,0,0,1665514904685214,0,0,0,0,0,0,1665514904447405,1665514904447422,1665514904684751,1665514904685214
8,0,2,0,0,1665514904923969,0,0,0,0,0,0,1665514904685225,1665514904685250,1665514904922988,1665514904923969
9,0,2,0,0,1665514905164409,0,0,0,0,0,0,1665514904923985,1665514904924000,1665514905164364,1665514905164409
10,0,2,0,0,1665514905414619,0,0,0,0,0,0,1665514905164422,1665514905164435,1665514905405673,1665514905414619
11,1,2,0,1,1665514905657310,1665514905657350,1665514905660520,1665514905662043,1665514905662499,0,1665514905662507,1665514905414631,1665514905414646,1665514905657252,1665514905662507
12,1,2,1,2,1665514905911163,1665514905911187,0,1665514905911566,1665514905914267,1665514905914271,1665514905915131,1665514905662516,1665514905662536,1665514905911087,1665514910923674
13,0,3,0,0,1665514911158125,0,0,0,0,0,0,1665514910923716,1665514910941242,1665514911121850,1665514911158125
14,0,3,0,0,1665514911372215,0,0,0,0,0,0,1665514911158139,1665514911158155,1665514911323301,1665514911372215
15,0,3,0,0,1665514911585386,0,0,0,0,0,0,1665514911372252,1665514911372278,1665514911537542,1665514911585386
16,0,3,0,0,1665514911798772,0,0,0,0,0,0,1665514911585397,1665514911585451,1665514911750441,1665514911798772
17,0,3,0,0,1665514912012189,0,0,0,0,0,0,1665514911798789,1665514911798814,1665514911961339,1665514912012189
18,0,3,0,0,1665514912224511,0,0,0,0,0,0,1665514912012203,1665514912012229,1665514912186290,1665514912224511
19,0,3,0,0,1665514912394700,0,0,0,0,0,0,1665514912224524,1665514912224553,1665514912387056,1665514912394700
20,0,3,0,0,1665514912560315,0,0,0,0,0,0,1665514912394715,1665514912394735,1665514912560236,1665514912560315
21,0,3,0,0,1665514912729199,0,0,0,0,0,0,1665514912560339,1665514912560359,1665514912724008,1665514912729199
22,0,3,0,0,1665514912898404,0,0,0,0,0,0,1665514912729217,1665514912729242,1665514912897410,1665514912898405
23,2,3,0,1,1665514913070616,1665514913070645,1665514913074668,1665514913075949,1665514913076429,0,1665514913076441,1665514912898417,1665514912898435,1665514913070546,1665514913076442
24,2,3,1,2,1665514913264884,1665514913264909,0,1665514913265366,1665514913270186,1665514913270194,1665514913272287,1665514913076459,1665514913076504,1665514913264806,1665514918272382
25,0,4,0,0,1665514918436052,0,0,0,0,0,0,1665514918272416,1665514918278445,1665514918433597,1665514918436052
26,0,4,0,0,1665514918593144,0,0,0,0,0,0,1665514918436066,1665514918436102,1665514918591204,1665514918593144
27,0,4,0,0,1665514918750871,0,0,0,0,0,0,1665514918593158,1665514918593203,1665514918748163,1665514918750871
28,0,4,0,0,1665514918907056,0,0,0,0,0,0,1665514918750885,1665514918750925,1665514918906887,1665514918907056
29,0,4,0,0,1665514919063217,0,0,0,0,0,0,1665514918907073,1665514918907354,1665514919061982,1665514919063217
30,0,4,0,0,1665514919219016,0,0,0,0,0,0,1665514919063227,1665514919063263,1665514919218400,1665514919219016
31,0,4,0,0,1665514919374752,0,0,0,0,0,0,1665514919219026,1665514919219070,1665514919373837,1665514919374752
32,0,4,0,0,1665514919531306,0,0,0,0,0,0,1665514919374763,1665514919374835,1665514919529325,1665514919531306
33,0,4,0,0,1665514919687803,0,0,0,0,0,0,1665514919531323,1665514919531362,1665514919686807,1665514919687803
34,0,4,0,0,1665514919844129,0,0,0,0,0,0,1665514919687812,1665514919687840,1665514919842233,1665514919844129
35,3,4,0,1,1665514920000463,1665514920000479,1665514920002953,1665514920006863,1665514920007456,0,1665514920007465,1665514919844143,1665514919844220,1665514919999251,1665514920007465
36,3,4,1,2,1665514920165748,1665514920165765,0,1665514920166188,1665514920171235,1665514920171241,1665514920174558,1665514920007477,1665514920007586,1665514920165678,1665514925174636
37,0,5,0,0,1665514925328422,0,0,0,0,0,0,1665514925174668,1665514925182082,1665514925306166,1665514925328422
38,0,5,0,0,1665514925477214,0,0,0,0,0,0,1665514925328452,1665514925328641,1665514925452086,1665514925477214
39,0,5,0,0,1665514925623697,0,0,0,0,0,0,1665514925477230,1665514925478389,1665514925601465,1665514925623697
40,0,5,0,0,1665514925752036,0,0,0,0,0,0,1665514925623709,1665514925623742,1665514925745966,1665514925752036
41,0,5,0,0,1665514925880838,0,0,0,0,0,0,1665514925752051,1665514925752081,1665514925880733,1665514925880839
42,0,5,0,0,1665514926014606,0,0,0,0,0,0,1665514925880851,1665514925880891,1665514926004011,1665514926014607
43,0,5,0,0,1665514926141629,0,0,0,0,0,0,1665514926014618,1665514926014651,1665514926137380,1665514926141629
44,0,5,0,0,1665514926273364,0,0,0,0,0,0,1665514926141643,1665514926141729,1665514926265363,1665514926273364
45,0,5,0,0,1665514926405146,0,0,0,0,0,0,1665514926273381,1665514926273428,1665514926396382,1665514926405147
46,0,5,0,0,1665514926562335,0,0,0,0,0,0,1665514926405159,1665514926405393,1665514926528898,1665514926562335
47,4,5,0,1,1665514926693869,1665514926693888,1665514926699503,1665514926700745,1665514926704811,0,1665514926704828,1665514926562346,1665514926562377,1665514926685556,1665514926704828
48,4,5,1,2,1665514926833668,1665514926833802,0,1665514926834288,1665514926839135,1665514926839144,1665514926842916,1665514926704841,1665514926705588,1665514926830362,1665514931843005
49,0,6,0,0,1665514931989146,0,0,0,0,0,0,1665514931843056,1665514931855476,1665514931959744,1665514931989147
50,0,6,0,0,1665514932114619,0,0,0,0,0,0,1665514931989244,1665514931989381,1665514932098097,1665514932114620
51,0,6,0,0,1665514932246982,0,0,0,0,0,0,1665514932114634,1665514932115040,1665514932219445,1665514932246982
52,0,6,0,0,1665514932376208,0,0,0,0,0,0,1665514932247098,1665514932247469,1665514932350564,1665514932376208
53,0,6,0,0,1665514932556612,0,0,0,0,0,0,1665514932376226,1665514932377569,1665514932485654,1665514932556612
54,0,6,0,0,1665514932706756,0,0,0,0,0,0,1665514932556628,1665514932558593,1665514932663730,1665514932706756
55,0,6,0,0,1665514932890992,0,0,0,0,0,0,1665514932706774,1665514932707330,1665514932812025,1665514932890992
56,0,6,0,0,1665514933078198,0,0,0,0,0,0,1665514932891264,1665514932897035,1665514933021775,1665514933078198
57,0,6,0,0,1665514933241388,0,0,0,0,0,0,1665514933078210,1665514933079647,1665514933191576,1665514933241388
58,0,6,0,0,1665514933381233,0,0,0,0,0,0,1665514933241532,1665514933242046,1665514933347853,1665514933381233
59,5,6,0,1,1665514933588068,1665514933588348,1665514933593134,1665514933594225,1665514933594636,0,1665514933594856,1665514933381365,1665514933381649,1665514933492646,1665514933594856
60,5,6,1,2,1665514933792491,1665514933792700,0,1665514933793198,1665514933804807,1665514933804809,1665514933838358,1665514933594954,1665514933595631,1665514933709625,1665514938838441
61,0,7,0,0,1665514938993809,0,0,0,0,0,0,1665514938838477,1665514938844433,1665514938920158,1665514938993809
62,0,7,0,0,1665514939135726,0,0,0,0,0,0,1665514938993827,1665514938993999,1665514939085594,1665514939135726
63,0,7,0,0,1665514939271134,0,0,0,0,0,0,1665514939135762,1665514939136998,1665514939232266,1665514939271135
64,0,7,0,0,1665514939398812,0,0,0,0,0,0,1665514939271258,1665514939273532,1665514939372653,1665514939398813
65,0,7,0,0,1665514939583776,0,0,0,0,0,0,1665514939398838,1665514939410403,1665514939522954,1665514939583776
66,0,7,0,0,1665514939704590,0,0,0,0,0,0,1665514939583791,1665514939584125,1665514939681174,1665514939704590
67,0,7,0,0,1665514939819648,0,0,0,0,0,0,1665514939704610,1665514939708178,1665514939806873,1665514939819648
68,0,7,0,0,1665514939943828,0,0,0,0,0,0,1665514939819674,1665514939821919,1665514939916662,1665514939943829
69,0,7,0,0,1665514940051297,0,0,0,0,0,0,1665514939944097,1665514939947770,1665514940040986,1665514940051297
70,0,7,0,0,1665514940164669,0,0,0,0,0,0,1665514940051427,1665514940051885,1665514940151218,1665514940164669
71,6,7,0,1,1665514940280858,1665514940280886,1665514940286712,1665514940288100,1665514940288643,0,1665514940288921,1665514940164848,1665514940165454,1665514940262180,1665514940288921
72,6,7,1,2,1665514940416919,1665514940416963,0,1665514940417599,1665514940432371,1665514940432378,1665514940477341,1665514940289030,1665514940289884,1665514940404552,1665514945480633
73,0,8,0,0,1665514945689967,0,0,0,0,0,0,1665514945480666,1665514945510361,1665514945620629,1665514945689967
74,0,8,0,0,1665514945858939,0,0,0,0,0,0,1665514945689996,1665514945713984,1665514945833834,1665514945858939
75,0,8,0,0,1665514946016714,0,0,0,0,0,0,1665514945859086,1665514945867309,1665514946011563,1665514946016714
76,0,8,0,0,1665514946191257,0,0,0,0,0,0,1665514946016735,1665514946024415,1665514946191200,1665514946191257
