iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,4,0,0,1638911761159841,0,0,0,0,0,0,1638911761064030,1638911761066420,1638911761159822,1638911761159841
2,0,4,0,0,1638911761271594,0,0,0,0,0,0,1638911761159871,1638911761159873,1638911761271573,1638911761271594
3,0,4,0,0,1638911761379408,0,0,0,0,0,0,1638911761271635,1638911761271637,1638911761379390,1638911761379408
4,0,4,0,0,1638911761487329,0,0,0,0,0,0,1638911761379441,1638911761379443,1638911761476518,1638911761487329
5,0,4,0,0,1638911761586423,0,0,0,0,0,0,1638911761487371,1638911761487377,1638911761583005,1638911761586423
6,0,4,0,0,1638911761689938,0,0,0,0,0,0,1638911761586485,1638911761586492,1638911761685318,1638911761689938
7,0,4,0,0,1638911761782187,0,0,0,0,0,0,1638911761689967,1638911761689971,1638911761779474,1638911761782187
8,0,4,0,0,1638911761898503,0,0,0,0,0,0,1638911761782215,1638911761790201,1638911761890985,1638911761898504
9,0,4,0,0,1638911762021716,0,0,0,0,0,0,1638911761898534,1638911761898539,1638911762003394,1638911762021716
10,0,4,0,0,1638911762169849,0,0,0,0,0,0,1638911762021761,1638911762039641,1638911762139513,1638911762169849
