iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,8,0,0,1659694570761160,0,0,0,0,0,0,1659694570748925,1659694570756886,1659694570761022,1659694570761160
2,0,8,0,0,1659694570766152,0,0,0,0,0,0,1659694570761161,1659694570761209,1659694570766122,1659694570766152
3,0,8,0,0,1659694570771112,0,0,0,0,0,0,1659694570766153,1659694570766182,1659694570770833,1659694570771112
4,0,8,0,0,1659694570775948,0,0,0,0,0,0,1659694570771113,1659694570771162,1659694570775912,1659694570775948
5,0,8,0,0,1659694570780703,0,0,0,0,0,0,1659694570775949,1659694570775977,1659694570780626,1659694570780703
6,0,8,0,0,1659694570785555,0,0,0,0,0,0,1659694570780704,1659694570780724,1659694570785405,1659694570785555
7,0,8,0,0,1659694570790318,0,0,0,0,0,0,1659694570785556,1659694570785599,1659694570790289,1659694570790318
8,0,8,0,0,1659694570795049,0,0,0,0,0,0,1659694570790319,1659694570790345,1659694570795019,1659694570795049
9,0,8,0,0,1659694570799804,0,0,0,0,0,0,1659694570795050,1659694570795076,1659694570799772,1659694570799804
10,0,8,0,0,1659694570804639,0,0,0,0,0,0,1659694570799810,1659694570799829,1659694570804608,1659694570804639
11,1,8,-2,1,1659694570809409,1659694570809420,1659694570822063,1659694570822457,1659694570865841,1659694570865841,1659694570912853,1659694570804640,1659694570804659,1659694570809301,1659694570912859
12,0,6,0,0,1659694570919614,0,0,0,0,0,0,1659694570912860,1659694570913365,1659694570919442,1659694570919614
13,0,6,0,0,1659694570925897,0,0,0,0,0,0,1659694570919615,1659694570919653,1659694570925839,1659694570925897
14,0,6,0,0,1659694570932163,0,0,0,0,0,0,1659694570925898,1659694570925930,1659694570932047,1659694570932163
15,0,6,0,0,1659694570938428,0,0,0,0,0,0,1659694570932164,1659694570932192,1659694570938370,1659694570938428
16,0,6,0,0,1659694570944704,0,0,0,0,0,0,1659694570938429,1659694570938468,1659694570944528,1659694570944704
17,0,6,0,0,1659694570950974,0,0,0,0,0,0,1659694570944705,1659694570944745,1659694570950919,1659694570950974
18,0,6,0,0,1659694570957249,0,0,0,0,0,0,1659694570950975,1659694570951014,1659694570957204,1659694570957249
19,0,6,0,0,1659694570963519,0,0,0,0,0,0,1659694570957250,1659694570957289,1659694570963478,1659694570963519
20,0,6,0,0,1659694570969790,0,0,0,0,0,0,1659694570963520,1659694570963561,1659694570969744,1659694570969790
21,0,6,0,0,1659694570976065,0,0,0,0,0,0,1659694570969791,1659694570969830,1659694570976000,1659694570976065
22,2,6,-2,1,1659694570982337,1659694570982344,1659694570984340,1659694570984637,1659694570986561,1659694570986561,1659694571032872,1659694570976066,1659694570976104,1659694570982295,1659694571032875
23,0,4,0,0,1659694571042187,0,0,0,0,0,0,1659694571032877,1659694571032890,1659694571042150,1659694571042187
24,0,4,0,0,1659694571051108,0,0,0,0,0,0,1659694571042188,1659694571042195,1659694571051097,1659694571051108
25,0,4,0,0,1659694571060276,0,0,0,0,0,0,1659694571051110,1659694571051117,1659694571060074,1659694571060276
26,0,4,0,0,1659694571068121,0,0,0,0,0,0,1659694571060277,1659694571060280,1659694571068112,1659694571068121
27,0,4,0,0,1659694571074712,0,0,0,0,0,0,1659694571068123,1659694571068126,1659694571074708,1659694571074712
28,0,4,0,0,1659694571081312,0,0,0,0,0,0,1659694571074712,1659694571074718,1659694571081264,1659694571081312
29,0,4,0,0,1659694571087968,0,0,0,0,0,0,1659694571081318,1659694571081320,1659694571087897,1659694571087968
30,0,4,0,0,1659694571094635,0,0,0,0,0,0,1659694571087969,1659694571087973,1659694571094503,1659694571094635
31,0,4,0,0,1659694571101235,0,0,0,0,0,0,1659694571094635,1659694571094638,1659694571101210,1659694571101235
32,0,4,0,0,1659694571108204,0,0,0,0,0,0,1659694571101236,1659694571101239,1659694571107986,1659694571108204
33,3,4,-2,1,1659694571114855,1659694571114863,1659694571116622,1659694571116814,1659694571118358,1659694571118358,1659694571160783,1659694571108209,1659694571108212,1659694571114779,1659694571160789
34,0,2,0,0,1659694571174057,0,0,0,0,0,0,1659694571160791,1659694571160793,1659694571173876,1659694571174057
35,0,2,0,0,1659694571192626,0,0,0,0,0,0,1659694571174059,1659694571174062,1659694571187144,1659694571192626
36,0,2,0,0,1659694571208952,0,0,0,0,0,0,1659694571192631,1659694571192633,1659694571205675,1659694571208952
37,0,2,0,0,1659694571222073,0,0,0,0,0,0,1659694571208956,1659694571208959,1659694571222048,1659694571222073
38,0,2,0,0,1659694571235208,0,0,0,0,0,0,1659694571222076,1659694571222078,1659694571235142,1659694571235208
39,0,2,0,0,1659694571248378,0,0,0,0,0,0,1659694571235211,1659694571235212,1659694571248375,1659694571248378
40,0,2,0,0,1659694571261540,0,0,0,0,0,0,1659694571248380,1659694571248383,1659694571261497,1659694571261540
41,0,2,0,0,1659694571274673,0,0,0,0,0,0,1659694571261543,1659694571261544,1659694571274653,1659694571274673
42,0,2,0,0,1659694571287829,0,0,0,0,0,0,1659694571274678,1659694571274679,1659694571287813,1659694571287829
43,0,2,0,0,1659694571300990,0,0,0,0,0,0,1659694571287832,1659694571287834,1659694571300984,1659694571300990
44,0,2,0,0,1659694571314131,0,0,0,0,0,0,1659694571300994,1659694571300995,1659694571314125,1659694571314131
45,0,2,0,0,1659694571327293,0,0,0,0,0,0,1659694571314135,1659694571314136,1659694571327236,1659694571327293
46,0,2,0,0,1659694571340436,0,0,0,0,0,0,1659694571327298,1659694571327300,1659694571340400,1659694571340436
47,0,2,0,0,1659694571353592,0,0,0,0,0,0,1659694571340440,1659694571340441,1659694571353571,1659694571353592
48,0,2,0,0,1659694571366715,0,0,0,0,0,0,1659694571353596,1659694571353598,1659694571366703,1659694571366715
49,0,2,0,0,1659694571379834,0,0,0,0,0,0,1659694571366720,1659694571366721,1659694571379831,1659694571379834
50,0,2,0,0,1659694571392976,0,0,0,0,0,0,1659694571379838,1659694571379839,1659694571392972,1659694571392976
51,0,2,0,0,1659694571406141,0,0,0,0,0,0,1659694571392980,1659694571392981,1659694571406109,1659694571406141
52,0,2,0,0,1659694571419295,0,0,0,0,0,0,1659694571406146,1659694571406147,1659694571419289,1659694571419295
53,0,2,0,0,1659694571432565,0,0,0,0,0,0,1659694571419300,1659694571419300,1659694571432558,1659694571432565
54,0,2,0,0,1659694571445717,0,0,0,0,0,0,1659694571432570,1659694571432571,1659694571445696,1659694571445717
55,0,2,0,0,1659694571458894,0,0,0,0,0,0,1659694571445721,1659694571445723,1659694571458889,1659694571458895
56,0,2,0,0,1659694571472042,0,0,0,0,0,0,1659694571458899,1659694571458900,1659694571472030,1659694571472042
57,0,2,0,0,1659694571485191,0,0,0,0,0,0,1659694571472046,1659694571472048,1659694571485186,1659694571485191
58,0,2,0,0,1659694571498332,0,0,0,0,0,0,1659694571485196,1659694571485197,1659694571498313,1659694571498332
59,0,2,0,0,1659694571511490,0,0,0,0,0,0,1659694571498337,1659694571498338,1659694571511426,1659694571511490
60,0,2,0,0,1659694571524685,0,0,0,0,0,0,1659694571511495,1659694571511497,1659694571524656,1659694571524685
61,0,2,0,0,1659694571537849,0,0,0,0,0,0,1659694571524695,1659694571524697,1659694571537846,1659694571537849
62,0,2,0,0,1659694571551030,0,0,0,0,0,0,1659694571537854,1659694571537855,1659694571551022,1659694571551030
63,0,2,0,0,1659694571564175,0,0,0,0,0,0,1659694571551035,1659694571551036,1659694571564158,1659694571564175
64,0,2,0,0,1659694571577350,0,0,0,0,0,0,1659694571564181,1659694571564182,1659694571577335,1659694571577350
65,0,2,0,0,1659694571590508,0,0,0,0,0,0,1659694571577355,1659694571577356,1659694571590478,1659694571590508
66,0,2,0,0,1659694571603663,0,0,0,0,0,0,1659694571590513,1659694571590514,1659694571603659,1659694571603663
67,0,2,0,0,1659694571616801,0,0,0,0,0,0,1659694571603668,1659694571603671,1659694571616768,1659694571616801
68,0,2,0,0,1659694571629940,0,0,0,0,0,0,1659694571616806,1659694571616807,1659694571629906,1659694571629940
69,0,2,0,0,1659694571643080,0,0,0,0,0,0,1659694571629945,1659694571629946,1659694571643056,1659694571643080
70,0,2,0,0,1659694571656209,0,0,0,0,0,0,1659694571643085,1659694571643086,1659694571656201,1659694571656209
71,0,2,0,0,1659694571669368,0,0,0,0,0,0,1659694571656215,1659694571656216,1659694571669351,1659694571669368
72,0,2,0,0,1659694571682527,0,0,0,0,0,0,1659694571669373,1659694571669374,1659694571682520,1659694571682527
73,0,2,0,0,1659694571695812,0,0,0,0,0,0,1659694571682532,1659694571682534,1659694571695805,1659694571695812
74,0,2,0,0,1659694571708942,0,0,0,0,0,0,1659694571695818,1659694571695819,1659694571708884,1659694571708942
75,0,2,0,0,1659694571722085,0,0,0,0,0,0,1659694571708948,1659694571708949,1659694571722021,1659694571722085
76,0,2,0,0,1659694571735183,0,0,0,0,0,0,1659694571722090,1659694571722091,1659694571735165,1659694571735183
77,0,2,0,0,1659694571748299,0,0,0,0,0,0,1659694571735189,1659694571735190,1659694571748295,1659694571748299
78,0,2,0,0,1659694571761457,0,0,0,0,0,0,1659694571748305,1659694571748306,1659694571761453,1659694571761457
79,0,2,0,0,1659694571774587,0,0,0,0,0,0,1659694571761463,1659694571761464,1659694571774569,1659694571774587
80,0,2,0,0,1659694571787698,0,0,0,0,0,0,1659694571774592,1659694571774593,1659694571787694,1659694571787698
81,0,2,0,0,1659694571800855,0,0,0,0,0,0,1659694571787703,1659694571787705,1659694571800832,1659694571800855
82,0,2,0,0,1659694571814025,0,0,0,0,0,0,1659694571800861,1659694571800862,1659694571814020,1659694571814025
83,0,2,0,0,1659694571827182,0,0,0,0,0,0,1659694571814031,1659694571814033,1659694571827178,1659694571827182
84,0,2,0,0,1659694571840322,0,0,0,0,0,0,1659694571827187,1659694571827193,1659694571840318,1659694571840322
85,0,2,0,0,1659694571853460,0,0,0,0,0,0,1659694571840329,1659694571840330,1659694571853443,1659694571853460
86,0,2,0,0,1659694571866626,0,0,0,0,0,0,1659694571853465,1659694571853467,1659694571866598,1659694571866626
87,0,2,0,0,1659694571879759,0,0,0,0,0,0,1659694571866632,1659694571866633,1659694571879735,1659694571879759
88,0,2,0,0,1659694571892907,0,0,0,0,0,0,1659694571879765,1659694571879766,1659694571892903,1659694571892907
89,0,2,0,0,1659694571906296,0,0,0,0,0,0,1659694571892913,1659694571892914,1659694571906289,1659694571906296
90,0,2,0,0,1659694571919496,0,0,0,0,0,0,1659694571906302,1659694571906303,1659694571919433,1659694571919496
91,0,2,0,0,1659694571933841,0,0,0,0,0,0,1659694571919502,1659694571919503,1659694571933833,1659694571933841
92,0,2,0,0,1659694571947212,0,0,0,0,0,0,1659694571933849,1659694571933859,1659694571947206,1659694571947212
93,0,2,0,0,1659694571960750,0,0,0,0,0,0,1659694571947218,1659694571947219,1659694571960570,1659694571960750
94,0,2,0,0,1659694571974059,0,0,0,0,0,0,1659694571960758,1659694571960759,1659694571974033,1659694571974059
95,0,2,0,0,1659694571987194,0,0,0,0,0,0,1659694571974065,1659694571974066,1659694571987191,1659694571987194
96,0,2,0,0,1659694572000320,0,0,0,0,0,0,1659694571987200,1659694571987201,1659694572000317,1659694572000320
97,0,2,0,0,1659694572013475,0,0,0,0,0,0,1659694572000326,1659694572000327,1659694572013469,1659694572013475
98,0,2,0,0,1659694572026605,0,0,0,0,0,0,1659694572013480,1659694572013482,1659694572026601,1659694572026605
99,0,2,0,0,1659694572039727,0,0,0,0,0,0,1659694572026610,1659694572026611,1659694572039723,1659694572039727
100,0,2,0,0,1659694572052888,0,0,0,0,0,0,1659694572039732,1659694572039734,1659694572052882,1659694572052888
101,0,2,0,0,1659694572066034,0,0,0,0,0,0,1659694572052894,1659694572052895,1659694572066025,1659694572066034
102,0,2,0,0,1659694572079162,0,0,0,0,0,0,1659694572066040,1659694572066041,1659694572079159,1659694572079162
103,0,2,0,0,1659694572092303,0,0,0,0,0,0,1659694572079168,1659694572079169,1659694572092258,1659694572092303
104,0,2,0,0,1659694572105466,0,0,0,0,0,0,1659694572092310,1659694572092311,1659694572105432,1659694572105466
105,0,2,0,0,1659694572118600,0,0,0,0,0,0,1659694572105473,1659694572105474,1659694572118590,1659694572118600
106,0,2,0,0,1659694572131743,0,0,0,0,0,0,1659694572118606,1659694572118608,1659694572131738,1659694572131744
107,0,2,0,0,1659694572144889,0,0,0,0,0,0,1659694572131750,1659694572131751,1659694572144867,1659694572144889
108,0,2,0,0,1659694572158086,0,0,0,0,0,0,1659694572144895,1659694572144897,1659694572158022,1659694572158087
109,0,2,0,0,1659694572171262,0,0,0,0,0,0,1659694572158094,1659694572158095,1659694572171217,1659694572171262
110,0,2,0,0,1659694572184429,0,0,0,0,0,0,1659694572171270,1659694572171271,1659694572184417,1659694572184429
111,0,2,0,0,1659694572197595,0,0,0,0,0,0,1659694572184437,1659694572184438,1659694572197590,1659694572197595
112,0,2,0,0,1659694572210737,0,0,0,0,0,0,1659694572197603,1659694572197604,1659694572210732,1659694572210737
113,0,2,0,0,1659694572223884,0,0,0,0,0,0,1659694572210745,1659694572210746,1659694572223831,1659694572223884
114,0,2,0,0,1659694572237039,0,0,0,0,0,0,1659694572223891,1659694572223892,1659694572237014,1659694572237039
115,0,2,0,0,1659694572250165,0,0,0,0,0,0,1659694572237047,1659694572237048,1659694572250146,1659694572250165
116,0,2,0,0,1659694572263316,0,0,0,0,0,0,1659694572250173,1659694572250174,1659694572263264,1659694572263316
117,0,2,0,0,1659694572276457,0,0,0,0,0,0,1659694572263323,1659694572263325,1659694572276436,1659694572276457
118,0,2,0,0,1659694572289724,0,0,0,0,0,0,1659694572276465,1659694572276466,1659694572289619,1659694572289724
119,0,2,0,0,1659694572303206,0,0,0,0,0,0,1659694572289736,1659694572289738,1659694572303186,1659694572303206
120,0,2,0,0,1659694572316361,0,0,0,0,0,0,1659694572303215,1659694572303217,1659694572316356,1659694572316361
121,0,2,0,0,1659694572329537,0,0,0,0,0,0,1659694572316369,1659694572316370,1659694572329530,1659694572329537
122,0,2,0,0,1659694572342666,0,0,0,0,0,0,1659694572329545,1659694572329546,1659694572342662,1659694572342666
123,0,2,0,0,1659694572355808,0,0,0,0,0,0,1659694572342675,1659694572342676,1659694572355803,1659694572355808
124,0,2,0,0,1659694572368974,0,0,0,0,0,0,1659694572355816,1659694572355817,1659694572368922,1659694572368974
125,0,2,0,0,1659694572382153,0,0,0,0,0,0,1659694572368982,1659694572368983,1659694572382120,1659694572382153
126,0,2,0,0,1659694572395551,0,0,0,0,0,0,1659694572382166,1659694572382168,1659694572395237,1659694572395551
127,0,2,0,0,1659694572408752,0,0,0,0,0,0,1659694572395559,1659694572395561,1659694572408739,1659694572408752
128,0,2,0,0,1659694572421997,0,0,0,0,0,0,1659694572408757,1659694572408759,1659694572421965,1659694572421997
129,0,2,0,0,1659694572435179,0,0,0,0,0,0,1659694572422001,1659694572422003,1659694572435174,1659694572435179
130,0,2,0,0,1659694572448371,0,0,0,0,0,0,1659694572435183,1659694572435184,1659694572448341,1659694572448371
131,0,2,0,0,1659694572461609,0,0,0,0,0,0,1659694572448374,1659694572448375,1659694572461605,1659694572461609
132,0,2,0,0,1659694572474781,0,0,0,0,0,0,1659694572461613,1659694572461614,1659694572474752,1659694572474781
133,0,2,0,0,1659694572487963,0,0,0,0,0,0,1659694572474785,1659694572474786,1659694572487961,1659694572487963
134,0,2,0,0,1659694572501014,0,0,0,0,0,0,1659694572487966,1659694572487969,1659694572501012,1659694572501014
135,0,2,0,0,1659694572514210,0,0,0,0,0,0,1659694572501018,1659694572501019,1659694572514124,1659694572514210
136,0,2,0,0,1659694572527367,0,0,0,0,0,0,1659694572514215,1659694572514216,1659694572527363,1659694572527367
137,0,2,0,0,1659694572540593,0,0,0,0,0,0,1659694572527371,1659694572527373,1659694572540461,1659694572540593
138,0,2,0,0,1659694572553742,0,0,0,0,0,0,1659694572540598,1659694572540599,1659694572553725,1659694572553742
