iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,2,0,0,1664566703334950,0,0,0,0,0,0,1664566702967468,1664566702967482,1664566703334938,1664566703334951
2,0,2,0,0,1664566703696410,0,0,0,0,0,0,1664566703334984,1664566703334986,1664566703696390,1664566703696410
3,0,2,0,0,1664566704059987,0,0,0,0,0,0,1664566703696434,1664566703696436,1664566704059972,1664566704059987
4,0,2,0,0,1664566704422495,0,0,0,0,0,0,1664566704060035,1664566704060039,1664566704422483,1664566704422495
5,0,2,0,0,1664566704786229,0,0,0,0,0,0,1664566704422919,1664566704422925,1664566704786215,1664566704786229
6,0,2,0,0,1664566705149459,0,0,0,0,0,0,1664566704786265,1664566704786268,1664566705149441,1664566705149459
7,0,2,0,0,1664566705513191,0,0,0,0,0,0,1664566705149488,1664566705149491,1664566705513148,1664566705513191
8,0,2,0,0,1664566705877189,0,0,0,0,0,0,1664566705513223,1664566705513230,1664566705877179,1664566705877190
9,0,2,0,0,1664566706240396,0,0,0,0,0,0,1664566705877297,1664566705877300,1664566706240388,1664566706240396
10,0,2,0,0,1664566706602846,0,0,0,0,0,0,1664566706240486,1664566706240488,1664566706602829,1664566706602846
11,1,2,0,1,1664566706964287,1664566706964346,1664566706969501,1664566706972572,1664566706973054,0,1664566706973129,1664566706602865,1664566706602866,1664566706964277,1664566706973129
12,1,2,4,2,1664566707259232,1664566707259260,0,1664566707260429,1664566707264349,1664566707264355,1664566707316652,1664566706973215,1664566706973221,1664566707259222,1664566707316661
13,0,6,0,0,1664566707537884,0,0,0,0,0,0,1664566707316705,1664566707336724,1664566707515049,1664566707537884
14,0,6,0,0,1664566707749150,0,0,0,0,0,0,1664566707537912,1664566707558007,1664566707733839,1664566707749150
15,0,6,0,0,1664566707939944,0,0,0,0,0,0,1664566707749173,1664566707766923,1664566707920581,1664566707939944
16,0,6,0,0,1664566708155165,0,0,0,0,0,0,1664566707939984,1664566707944782,1664566708155143,1664566708155166
17,0,6,0,0,1664566708384719,0,0,0,0,0,0,1664566708155197,1664566708186841,1664566708384695,1664566708384719
18,0,6,0,0,1664566708571867,0,0,0,0,0,0,1664566708384747,1664566708384889,1664566708504909,1664566708571867
