iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,32,0,0,1638892691368617,0,0,0,0,0,0,1638892689766938,1638892690880846,1638892690942459,1638892691368617
2,0,32,0,0,1638892692284590,0,0,0,0,0,0,1638892691368646,1638892691973016,1638892692263171,1638892692284590
3,0,32,0,0,1638892693193678,0,0,0,0,0,0,1638892692284614,1638892692824901,1638892692902879,1638892693193678
4,0,32,0,0,1638892694376632,0,0,0,0,0,0,1638892693193727,1638892693589657,1638892693634925,1638892694376632
5,0,32,0,0,1638892695026535,0,0,0,0,0,0,1638892694376656,1638892694376735,1638892694444937,1638892695026535
6,0,32,0,0,1638892695884753,0,0,0,0,0,0,1638892695026573,1638892695513170,1638892695717092,1638892695884754
7,0,32,0,0,1638892696777598,0,0,0,0,0,0,1638892695884801,1638892696221193,1638892696270161,1638892696777598
8,0,32,0,0,1638892697848913,0,0,0,0,0,0,1638892696777618,1638892696916799,1638892696996356,1638892697848913
9,0,32,0,0,1638892698639954,0,0,0,0,0,0,1638892697848936,1638892698088891,1638892698145281,1638892698639954
10,0,32,0,0,1638892699472797,0,0,0,0,0,0,1638892698639979,1638892699025429,1638892699065899,1638892699472797
11,1,32,-8,1,1638892700040982,1638892700041017,1638892700115780,1638892700220850,1638892701211392,1638892701211395,1638892701432596,1638892699472822,1638892699596650,1638892699637219,1638892701684959
12,0,24,0,0,1638892702484994,0,0,0,0,0,0,1638892701684972,1638892702140911,1638892702242901,1638892702484994
13,0,24,0,0,1638892703129932,0,0,0,0,0,0,1638892702485023,1638892702730222,1638892702771035,1638892703129933
14,0,24,0,0,1638892703599524,0,0,0,0,0,0,1638892703129959,1638892703276774,1638892703344816,1638892703599524
15,0,24,0,0,1638892703953006,0,0,0,0,0,0,1638892703599549,1638892703653280,1638892703700829,1638892703953006
16,0,24,0,0,1638892704732787,0,0,0,0,0,0,1638892703953031,1638892704288870,1638892704323029,1638892704732787
17,0,24,0,0,1638892705508883,0,0,0,0,0,0,1638892704732811,1638892705136660,1638892705251055,1638892705508883
18,0,24,0,0,1638892705985262,0,0,0,0,0,0,1638892705508906,1638892705727357,1638892705773964,1638892705985262
19,0,24,0,0,1638892706649581,0,0,0,0,0,0,1638892705985290,1638892706188772,1638892706270505,1638892706649581
20,0,24,0,0,1638892707176639,0,0,0,0,0,0,1638892706649607,1638892706860866,1638892706910911,1638892707176639
21,0,24,0,0,1638892707612578,0,0,0,0,0,0,1638892707176665,1638892707412570,1638892707568332,1638892707612578
22,2,24,8,1,1638892708728645,1638892708728687,1638892708855297,1638892708895285,1638892709723162,1638892709723164,1638892710101099,1638892707612601,1638892708028575,1638892708083974,1638892710132648
23,0,32,0,0,1638892711096692,0,0,0,0,0,0,1638892710132659,1638892710732786,1638892710830902,1638892711096692
24,0,32,0,0,1638892711924974,0,0,0,0,0,0,1638892711096719,1638892711405019,1638892711451472,1638892711924974
25,0,32,0,0,1638892712497094,0,0,0,0,0,0,1638892711924998,1638892712141003,1638892712233723,1638892712497094
26,0,32,0,0,1638892713444868,0,0,0,0,0,0,1638892712497119,1638892712884636,1638892712945771,1638892713444868
27,0,32,0,0,1638892714112800,0,0,0,0,0,0,1638892713444895,1638892713544677,1638892713584849,1638892714112800
28,0,32,0,0,1638892715040734,0,0,0,0,0,0,1638892714112984,1638892714344610,1638892714465282,1638892715040734
29,0,32,0,0,1638892715868786,0,0,0,0,0,0,1638892715040872,1638892715360766,1638892715401250,1638892715868786
30,0,32,0,0,1638892716476939,0,0,0,0,0,0,1638892715868813,1638892716312880,1638892716374188,1638892716476939
31,0,32,0,0,1638892717396807,0,0,0,0,0,0,1638892716476969,1638892716936893,1638892716981419,1638892717396807
