iteration, res_change_id, num_procs, delta_procs, rc_status, rc_start, get_rc_start, psetop_start, accept_start, accept_end, reinit_start, rc_end, rebalance_start, work_start, work_end, iteration_end
1,0,8,0,0,1666854789488920,0,0,0,0,0,0,1666854789431249,1666854789431267,1666854789487817,1666854789488920
2,0,8,0,0,1666854789534526,0,0,0,0,0,0,1666854789488927,1666854789488933,1666854789531519,1666854789534526
3,0,8,0,0,1666854789593575,0,0,0,0,0,0,1666854789534558,1666854789534663,1666854789593103,1666854789593575
4,0,8,0,0,1666854789635884,0,0,0,0,0,0,1666854789593586,1666854789593589,1666854789635717,1666854789635884
5,0,8,0,0,1666854789694120,0,0,0,0,0,0,1666854789635889,1666854789635892,1666854789693995,1666854789694120
6,0,8,0,0,1666854789736365,0,0,0,0,0,0,1666854789694126,1666854789694138,1666854789736016,1666854789736366
7,0,8,0,0,1666854789795666,0,0,0,0,0,0,1666854789736372,1666854789736406,1666854789794937,1666854789795666
8,0,8,0,0,1666854789838943,0,0,0,0,0,0,1666854789795679,1666854789795747,1666854789837843,1666854789838943
9,0,8,0,0,1666854789897354,0,0,0,0,0,0,1666854789838952,1666854789838954,1666854789897023,1666854789897354
10,0,8,0,0,1666854789939543,0,0,0,0,0,0,1666854789897360,1666854789897362,1666854789939355,1666854789939543
11,1,8,8,0,1666854789999211,1666854789999226,1666854791000119,1666854791001690,1666854791002500,1666854791058055,1666854791179029,1666854789939546,1666854789939548,1666854789999202,1666854791199149
12,0,16,0,0,1666854791281064,0,0,0,0,0,0,1666854791199212,1666854791215703,1666854791266114,1666854791281064
13,0,16,0,0,1666854791358521,0,0,0,0,0,0,1666854791285978,1666854791325952,1666854791358490,1666854791358521
14,0,16,0,0,1666854791430786,0,0,0,0,0,0,1666854791358554,1666854791377962,1666854791415416,1666854791430786
15,0,16,0,0,1666854791494353,0,0,0,0,0,0,1666854791430899,1666854791445954,1666854791489279,1666854791494353
16,0,16,0,0,1666854791562408,0,0,0,0,0,0,1666854791494446,1666854791507481,1666854791562374,1666854791562408
17,0,16,0,0,1666854791633969,0,0,0,0,0,0,1666854791562415,1666854791575492,1666854791598517,1666854791633969
18,0,16,0,0,1666854791726827,0,0,0,0,0,0,1666854791633975,1666854791653952,1666854791715896,1666854791726827
19,0,16,0,0,1666854791797360,0,0,0,0,0,0,1666854791726834,1666854791742219,1666854791787490,1666854791797360
20,0,16,0,0,1666854791873987,0,0,0,0,0,0,1666854791797366,1666854791813951,1666854791850738,1666854791873987
21,0,16,0,0,1666854791941980,0,0,0,0,0,0,1666854791873997,1666854791893951,1666854791932243,1666854791941980
22,2,16,-8,0,1666854792014711,1666854792014720,1666854793021961,1666854793022938,1666854793023348,1666854793062009,1666854793062968,1666854791941985,1666854791957964,1666854791993747,1666854793062976
23,0,8,0,0,1666854793105358,0,0,0,0,0,0,1666854793063034,1666854793063037,1666854793105177,1666854793105358
